"Task ID","Root Entity","Size of ontology TBox","Size of ontology ABox","Task Type","Answer Type","SPARQL Query","Predicate","Answer","Min Tag Length","Max Tag Length"
"1hop-CaperTopping_CaperTopping_dynamic_1_CaperTopping_dynamic_1-CaperTopping_dynamic_1-isToppingOf-Capricciosa_101-BIN","CaperTopping_CaperTopping_dynamic_1",117,50,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#CaperTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#Capricciosa_101> }","isToppingOf","TRUE",2,2
"1hop-CaperTopping_CaperTopping_dynamic_1_CaperTopping_dynamic_1-CaperTopping_dynamic_1-isToppingOf-CaperTopping_dynamic_1-NEG-BIN","CaperTopping_CaperTopping_dynamic_1",117,50,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#CaperTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#CaperTopping_dynamic_1> }","isToppingOf","FALSE",2,2
"1hop-ChickenTopping_ChickenTopping_dynamic_1_ChickenTopping_dynamic_1-ChickenTopping_dynamic_1-isToppingOf-MC","ChickenTopping_ChickenTopping_dynamic_1",117,12,"Property Assertion","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#ChickenTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> ?x }","isToppingOf","PolloAdAstra_11; PolloAdAstra_115; PolloAdAstra_178; PolloAdAstra_18; PolloAdAstra_205; PolloAdAstra_22; PolloAdAstra_33; PolloAdAstra_70; PolloAdAstra_74; PolloAdAstra_91; PolloAdAstra_95",2,2
"1hop-ChickenTopping_ChickenTopping_dynamic_1_ChickenTopping_dynamic_1-ChickenTopping_dynamic_1-rdf:type-MC","ChickenTopping_ChickenTopping_dynamic_1",117,12,"Membership","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#ChickenTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }","rdf:type","DomainConcept; Food; MeatTopping; PizzaTopping",2,3
"1hop-ChickenTopping_ChickenTopping_dynamic_1_ChickenTopping_dynamic_1-ChickenTopping_dynamic_1-rdf:type-Food-BIN","ChickenTopping_ChickenTopping_dynamic_1",117,12,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#ChickenTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }","rdf:type","TRUE",4,4
"1hop-ChickenTopping_ChickenTopping_dynamic_1_ChickenTopping_dynamic_1-ChickenTopping_dynamic_1-rdf:type-American-NEG-BIN","ChickenTopping_ChickenTopping_dynamic_1",117,12,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#ChickenTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }","rdf:type","FALSE",4,4
"1hop-ChickenTopping_ChickenTopping_dynamic_1_ChickenTopping_dynamic_1-ChickenTopping_dynamic_1-isToppingOf-PolloAdAstra_11-BIN","ChickenTopping_ChickenTopping_dynamic_1",117,12,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#ChickenTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#PolloAdAstra_11> }","isToppingOf","TRUE",2,2
"1hop-ChickenTopping_ChickenTopping_dynamic_1_ChickenTopping_dynamic_1-ChickenTopping_dynamic_1-isToppingOf-ChickenTopping_dynamic_1-NEG-BIN","ChickenTopping_ChickenTopping_dynamic_1",117,12,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#ChickenTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#ChickenTopping_dynamic_1> }","isToppingOf","FALSE",2,2
"1hop-FourCheesesTopping_FourCheesesTopping_dynamic_1_FourCheesesTopping_dynamic_1-FourCheesesTopping_dynamic_1-isToppingOf-MC","FourCheesesTopping_FourCheesesTopping_dynamic_1",117,12,"Property Assertion","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#FourCheesesTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> ?x }","isToppingOf","QuattroFormaggi_111; QuattroFormaggi_116; QuattroFormaggi_120; QuattroFormaggi_137; QuattroFormaggi_168; QuattroFormaggi_185; QuattroFormaggi_219; QuattroFormaggi_223; QuattroFormaggi_51; QuattroFormaggi_66; QuattroFormaggi_81",2,2
"1hop-FourCheesesTopping_FourCheesesTopping_dynamic_1_FourCheesesTopping_dynamic_1-FourCheesesTopping_dynamic_1-rdf:type-MC","FourCheesesTopping_FourCheesesTopping_dynamic_1",117,12,"Membership","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#FourCheesesTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }","rdf:type","CheeseTopping; DomainConcept; Food; PizzaTopping",5,5
"1hop-FourCheesesTopping_FourCheesesTopping_dynamic_1_FourCheesesTopping_dynamic_1-FourCheesesTopping_dynamic_1-rdf:type-CheeseTopping-BIN","FourCheesesTopping_FourCheesesTopping_dynamic_1",117,12,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#FourCheesesTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#CheeseTopping> }","rdf:type","TRUE",2,2
"1hop-FourCheesesTopping_FourCheesesTopping_dynamic_1_FourCheesesTopping_dynamic_1-FourCheesesTopping_dynamic_1-rdf:type-American-NEG-BIN","FourCheesesTopping_FourCheesesTopping_dynamic_1",117,12,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#FourCheesesTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }","rdf:type","FALSE",2,2
"1hop-FourCheesesTopping_FourCheesesTopping_dynamic_1_FourCheesesTopping_dynamic_1-FourCheesesTopping_dynamic_1-isToppingOf-QuattroFormaggi_111-BIN","FourCheesesTopping_FourCheesesTopping_dynamic_1",117,12,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#FourCheesesTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#QuattroFormaggi_111> }","isToppingOf","TRUE",2,2
"1hop-FourCheesesTopping_FourCheesesTopping_dynamic_1_FourCheesesTopping_dynamic_1-FourCheesesTopping_dynamic_1-isToppingOf-FourCheesesTopping_dynamic_1-NEG-BIN","FourCheesesTopping_FourCheesesTopping_dynamic_1",117,12,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#FourCheesesTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#FourCheesesTopping_dynamic_1> }","isToppingOf","FALSE",2,2
"1hop-GarlicTopping_GarlicTopping_dynamic_1_GarlicTopping_dynamic_1-GarlicTopping_dynamic_1-isToppingOf-MC","GarlicTopping_GarlicTopping_dynamic_1",117,68,"Property Assertion","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#GarlicTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> ?x }","isToppingOf","Fiorentina_130; Fiorentina_145; Fiorentina_149; Fiorentina_156; Fiorentina_222; Fiorentina_232; Fiorentina_234; Fiorentina_241; Fiorentina_84; Fiorentina_99; FruttiDiMare_114; FruttiDiMare_128; FruttiDiMare_160; FruttiDiMare_163; FruttiDiMare_207; FruttiDiMare_214; FruttiDiMare_240; FruttiDiMare_244; FruttiDiMare_26; FruttiDiMare_28; FruttiDiMare_32; FruttiDiMare_37; FruttiDiMare_38; PolloAdAstra_11; PolloAdAstra_115; PolloAdAstra_178; PolloAdAstra_18; PolloAdAstra_205; PolloAdAstra_22; PolloAdAstra_33; PolloAdAstra_70; PolloAdAstra_74; PolloAdAstra_91; PolloAdAstra_95; Siciliana_0; Siciliana_109; Siciliana_113; Siciliana_154; Siciliana_157; Siciliana_164; Siciliana_167; Siciliana_196; Siciliana_220; Siciliana_247; Siciliana_42; Siciliana_44; Siciliana_52; Siciliana_6; Soho_104; Soho_105; Soho_106; Soho_134; Soho_14; Soho_142; Soho_180; Soho_183; Soho_204; Soho_210; Soho_236; Soho_243; Soho_25; Soho_3; Soho_41; Soho_54; Soho_67; Soho_7; Soho_87",2,2
"1hop-GarlicTopping_GarlicTopping_dynamic_1_GarlicTopping_dynamic_1-GarlicTopping_dynamic_1-rdf:type-MC","GarlicTopping_GarlicTopping_dynamic_1",117,68,"Membership","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#GarlicTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }","rdf:type","DomainConcept; Food; PizzaTopping; VegetableTopping",5,5
"1hop-GarlicTopping_GarlicTopping_dynamic_1_GarlicTopping_dynamic_1-GarlicTopping_dynamic_1-isToppingOf-Fiorentina_130-BIN","GarlicTopping_GarlicTopping_dynamic_1",117,68,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#GarlicTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#Fiorentina_130> }","isToppingOf","TRUE",2,2
"1hop-GarlicTopping_GarlicTopping_dynamic_1_GarlicTopping_dynamic_1-GarlicTopping_dynamic_1-isToppingOf-GarlicTopping_dynamic_1-NEG-BIN","GarlicTopping_GarlicTopping_dynamic_1",117,68,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#GarlicTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#GarlicTopping_dynamic_1> }","isToppingOf","FALSE",2,2
"1hop-GarlicTopping_GarlicTopping_dynamic_1_GarlicTopping_dynamic_1-GarlicTopping_dynamic_1-rdf:type-Food-BIN","GarlicTopping_GarlicTopping_dynamic_1",117,68,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#GarlicTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }","rdf:type","TRUE",4,4
"1hop-GarlicTopping_GarlicTopping_dynamic_1_GarlicTopping_dynamic_1-GarlicTopping_dynamic_1-rdf:type-American-NEG-BIN","GarlicTopping_GarlicTopping_dynamic_1",117,68,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#GarlicTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }","rdf:type","FALSE",4,4
"1hop-GoatsCheeseTopping_GoatsCheeseTopping_dynamic_1_GoatsCheeseTopping_dynamic_1-GoatsCheeseTopping_dynamic_1-rdf:type-MC","GoatsCheeseTopping_GoatsCheeseTopping_dynamic_1",117,7,"Membership","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#GoatsCheeseTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }","rdf:type","CheeseTopping; DomainConcept; Food; PizzaTopping",4,4
"1hop-GoatsCheeseTopping_GoatsCheeseTopping_dynamic_1_GoatsCheeseTopping_dynamic_1-GoatsCheeseTopping_dynamic_1-isToppingOf-MC","GoatsCheeseTopping_GoatsCheeseTopping_dynamic_1",117,7,"Property Assertion","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#GoatsCheeseTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> ?x }","isToppingOf","Caprina_10; Caprina_133; Caprina_194; Caprina_227; Caprina_36; Caprina_75",2,2
"1hop-GoatsCheeseTopping_GoatsCheeseTopping_dynamic_1_GoatsCheeseTopping_dynamic_1-GoatsCheeseTopping_dynamic_1-rdf:type-CheeseTopping-BIN","GoatsCheeseTopping_GoatsCheeseTopping_dynamic_1",117,7,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#GoatsCheeseTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#CheeseTopping> }","rdf:type","TRUE",2,2
