task,representation,bqa_label,scope,tag_basis,tag,n_unique_questions,n_observations,n_clusters,answer_f1_mean,answer_f1_se_clustered,answer_f1_ci95_low,answer_f1_ci95_high,answer_exact_match_mean,answer_exact_match_se_clustered,answer_exact_match_ci95_low,answer_exact_match_ci95_high
BQA,AR,FALSE,all,every,R,332,996,332,0.9407630522088354,0.007691827478081095,0.9256320214838959,0.9558940829337749,0.9407630522088354,0.007691827478081095,0.9256320214838959,0.9558940829337749
BQA,AR,TRUE,all,every,R,332,996,332,0.09437751004016064,0.01134895245137832,0.07205234105697346,0.11670267902334781,0.09437751004016064,0.01134895245137832,0.07205234105697346,0.11670267902334781
BQA,FS,FALSE,all,every,R,332,996,332,0.9528112449799196,0.007412778773350905,0.9382291468119127,0.9673933431479266,0.9528112449799196,0.007412778773350905,0.9382291468119127,0.9673933431479266
BQA,FS,TRUE,all,every,R,332,996,332,0.7690763052208835,0.014663624059769901,0.7402306574447725,0.7979219529969946,0.7690763052208835,0.014663624059769901,0.7402306574447725,0.7979219529969946
BQA,NL,FALSE,all,every,R,332,996,332,0.856425702811245,0.013087626837486608,0.830680288687116,0.882171116935374,0.856425702811245,0.013087626837486608,0.830680288687116,0.882171116935374
BQA,NL,TRUE,all,every,R,332,996,332,0.35441767068273095,0.01820183465449845,0.318611807876745,0.3902235334887169,0.35441767068273095,0.01820183465449845,0.318611807876745,0.3902235334887169
BQA,AR,FALSE,all,every,S,20,60,20,0.6833333333333333,0.01666666666666667,0.6484495990931957,0.718217067573471,0.6833333333333333,0.01666666666666667,0.6484495990931957,0.718217067573471
BQA,AR,TRUE,all,every,S,20,60,20,0.7833333333333333,0.055540933748339405,0.6670848229937633,0.8995818436729034,0.7833333333333333,0.055540933748339405,0.6670848229937633,0.8995818436729034
BQA,FS,FALSE,all,every,S,20,60,20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
BQA,FS,TRUE,all,every,S,20,60,20,0.95,0.027305934063637505,0.8928480231767206,1.0,0.95,0.027305934063637505,0.8928480231767206,1.0
BQA,NL,FALSE,all,every,S,20,60,20,0.9166666666666666,0.033113308926626096,0.8473597145621864,0.9859736187711469,0.9166666666666666,0.033113308926626096,0.8473597145621864,0.9859736187711469
BQA,NL,TRUE,all,every,S,20,60,20,0.7166666666666667,0.07751626880742236,0.5544232514447547,0.8789100818885787,0.7166666666666667,0.07751626880742236,0.5544232514447547,0.8789100818885787
BQA,AR,FALSE,all,any,D,3016,9048,3016,0.8835101679929266,0.003141474056901986,0.8773505192233944,0.8896698167624588,0.8835101679929266,0.003141474056901986,0.8773505192233944,0.8896698167624588
BQA,AR,TRUE,all,any,D,3016,9048,3016,0.377210433244916,0.007092449681028423,0.36330390460281764,0.39111696188701434,0.377210433244916,0.007092449681028423,0.36330390460281764,0.39111696188701434
BQA,FS,FALSE,all,any,D,3016,9048,3016,0.9509283819628647,0.0024133100116809285,0.946196481659155,0.9556602822665743,0.9509283819628647,0.0024133100116809285,0.946196481659155,0.9556602822665743
BQA,FS,TRUE,all,any,D,3016,9048,3016,0.6751768346595933,0.00665542003329145,0.6621272123879353,0.6882264569312514,0.6751768346595933,0.00665542003329145,0.6621272123879353,0.6882264569312514
BQA,NL,FALSE,all,any,D,3016,9048,3016,0.9466180371352785,0.0026197033809196102,0.941481450802067,0.9517546234684899,0.9466180371352785,0.0026197033809196102,0.941481450802067,0.9517546234684899
BQA,NL,TRUE,all,any,D,3016,9048,3016,0.46275419982316535,0.007131623859733415,0.4487708603663708,0.4767375392799599,0.46275419982316535,0.007131623859733415,0.4487708603663708,0.4767375392799599
BQA,AR,FALSE,all,any,H,905,2715,905,0.9259668508287293,0.004724606890222009,0.9166943768642999,0.9352393247931587,0.9259668508287293,0.004724606890222009,0.9166943768642999,0.9352393247931587
BQA,AR,TRUE,all,any,H,905,2715,905,0.2143646408839779,0.008513864017198402,0.19765540257686126,0.23107387919109457,0.2143646408839779,0.008513864017198402,0.19765540257686126,0.23107387919109457
BQA,FS,FALSE,all,any,H,905,2715,905,0.9845303867403314,0.0026072091814082063,0.97941349980854,0.9896472736721229,0.9845303867403314,0.0026072091814082063,0.97941349980854,0.9896472736721229
BQA,FS,TRUE,all,any,H,905,2715,905,0.47697974217311234,0.014119634707629185,0.44926866519764913,0.5046908191485756,0.47697974217311234,0.014119634707629185,0.44926866519764913,0.5046908191485756
BQA,NL,FALSE,all,any,H,905,2715,905,0.9694290976058931,0.0035613562402773474,0.9624396096371961,0.9764185855745902,0.9694290976058931,0.0035613562402773474,0.9624396096371961,0.9764185855745902
BQA,NL,TRUE,all,any,H,905,2715,905,0.3598526703499079,0.011008263836553846,0.33824794382138623,0.3814573968784296,0.3598526703499079,0.011008263836553846,0.33824794382138623,0.3814573968784296
BQA,AR,FALSE,all,any,I,760,2280,760,0.9149122807017543,0.005525058110779976,0.9040660699989768,0.9257584914045319,0.9149122807017543,0.005525058110779976,0.9040660699989768,0.9257584914045319
BQA,AR,TRUE,all,any,I,760,2280,760,0.18640350877192982,0.00743953384807901,0.17179900144751373,0.20100801609634592,0.18640350877192982,0.00743953384807901,0.17179900144751373,0.20100801609634592
BQA,FS,FALSE,all,any,I,760,2280,760,0.9394736842105263,0.005022162036038073,0.9296147059818486,0.9493326624392041,0.9394736842105263,0.005022162036038073,0.9296147059818486,0.9493326624392041
BQA,FS,TRUE,all,any,I,760,2280,760,0.8131578947368421,0.009425472801551173,0.7946548017504605,0.8316609877232236,0.8131578947368421,0.009425472801551173,0.7946548017504605,0.8316609877232236
BQA,NL,FALSE,all,any,I,760,2280,760,0.9289473684210526,0.005472328440007515,0.9182046710403106,0.9396900658017947,0.9289473684210526,0.005472328440007515,0.9182046710403106,0.9396900658017947
BQA,NL,TRUE,all,any,I,760,2280,760,0.47368421052631576,0.013465007241562126,0.4472511300540107,0.5001172909986208,0.47368421052631576,0.013465007241562126,0.4472511300540107,0.5001172909986208
BQA,AR,FALSE,all,any,N,39,117,39,0.7606837606837606,0.03227914206191675,0.695338053877531,0.8260294674899903,0.7606837606837606,0.03227914206191675,0.695338053877531,0.8260294674899903
BQA,AR,TRUE,all,any,N,39,117,39,0.23931623931623933,0.02986629360809326,0.178855088838334,0.29977738979414464,0.23931623931623933,0.02986629360809326,0.178855088838334,0.29977738979414464
BQA,FS,FALSE,all,any,N,39,117,39,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
BQA,FS,TRUE,all,any,N,39,117,39,0.1282051282051282,0.026307137232952665,0.07494911312150757,0.18146114328874882,0.1282051282051282,0.026307137232952665,0.07494911312150757,0.18146114328874882
BQA,NL,FALSE,all,any,N,39,117,39,0.9914529914529915,0.00854700854700855,0.9741504772315217,1.0,0.9914529914529915,0.00854700854700855,0.9741504772315217,1.0
BQA,NL,TRUE,all,any,N,39,117,39,0.3162393162393162,0.01192719170810873,0.2920939789535617,0.34038465352507075,0.3162393162393162,0.01192719170810873,0.2920939789535617,0.34038465352507075
BQA,AR,FALSE,all,any,R,668,2004,668,0.9401197604790419,0.005248037362749581,0.9298150975988736,0.9504244233592102,0.9401197604790419,0.005248037362749581,0.9298150975988736,0.9504244233592102
BQA,AR,TRUE,all,any,R,668,2004,668,0.07634730538922156,0.006773065391326447,0.06304820885108506,0.08964640192735807,0.07634730538922156,0.006773065391326447,0.06304820885108506,0.08964640192735807
BQA,FS,FALSE,all,any,R,668,2004,668,0.9700598802395209,0.004255280012339015,0.9617045231875472,0.9784152372914947,0.9700598802395209,0.004255280012339015,0.9617045231875472,0.9784152372914947
BQA,FS,TRUE,all,any,R,668,2004,668,0.5319361277445109,0.016432945311099224,0.4996695964958843,0.5642026589931375,0.5319361277445109,0.016432945311099224,0.4996695964958843,0.5642026589931375
BQA,NL,FALSE,all,any,R,668,2004,668,0.9271457085828343,0.007099043150964681,0.9132065459233422,0.9410848712423264,0.9271457085828343,0.007099043150964681,0.9132065459233422,0.9410848712423264
BQA,NL,TRUE,all,any,R,668,2004,668,0.3348303393213573,0.011743157134521887,0.31177233362211987,0.35788834502059474,0.3348303393213573,0.011743157134521887,0.31177233362211987,0.35788834502059474
BQA,AR,FALSE,all,any,S,20,60,20,0.6833333333333333,0.01666666666666667,0.6484495990931957,0.718217067573471,0.6833333333333333,0.01666666666666667,0.6484495990931957,0.718217067573471
BQA,AR,TRUE,all,any,S,20,60,20,0.7833333333333333,0.055540933748339405,0.6670848229937633,0.8995818436729034,0.7833333333333333,0.055540933748339405,0.6670848229937633,0.8995818436729034
BQA,FS,FALSE,all,any,S,20,60,20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
BQA,FS,TRUE,all,any,S,20,60,20,0.95,0.027305934063637505,0.8928480231767206,1.0,0.95,0.027305934063637505,0.8928480231767206,1.0
BQA,NL,FALSE,all,any,S,20,60,20,0.9166666666666666,0.033113308926626096,0.8473597145621864,0.9859736187711469,0.9166666666666666,0.033113308926626096,0.8473597145621864,0.9859736187711469
BQA,NL,TRUE,all,any,S,20,60,20,0.7166666666666667,0.07751626880742236,0.5544232514447547,0.8789100818885787,0.7166666666666667,0.07751626880742236,0.5544232514447547,0.8789100818885787
