scope,tag_basis,task,representation,tag,outcome,reference_group,n_present_questions,n_absent_questions,estimable,reason_not_estimable,effect_present_minus_absent,standard_error_clustered,ci95_low,ci95_high,p_value,p_value_holm
all,any,OEQA,NL,R,answer_f1,questions without R,501,2515,True,,-0.16769444763650426,0.011927927141780847,-0.1910727552446125,-0.14431614002839602,6.786052825150221e-45,2.0358158475450663e-44
all,any,OEQA,NL,R,answer_exact_match,questions without R,501,2515,True,,-0.2225476151738907,0.009184188067865098,-0.24054829301414882,-0.2045469373336326,1.0335481677990408e-129,6.201289006794244e-129
all,any,OEQA,NL,S,answer_f1,questions without S,16,3000,False,tag sparse; descriptive only,,,,,,
all,any,OEQA,NL,S,answer_exact_match,questions without S,16,3000,False,tag sparse; descriptive only,,,,,,
all,any,OEQA,NL,T,answer_f1,questions without T,1,3015,False,tag sparse; descriptive only,,,,,,
all,any,OEQA,NL,T,answer_exact_match,questions without T,1,3015,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,AR,D,answer_f1,questions without D,6032,0,False,tag ubiquitous,,,,,,
exclude_confirmed_defective_ar,every,BQA,AR,D,answer_exact_match,questions without D,6032,0,False,tag ubiquitous,,,,,,
exclude_confirmed_defective_ar,every,BQA,AR,H,answer_f1,questions without H,1586,4446,True,,-0.06850757972415397,0.006111130769010222,-0.08048517593622857,-0.05652998351207937,3.629808969911147e-29,1.4519235879644588e-28
exclude_confirmed_defective_ar,every,BQA,AR,H,answer_exact_match,questions without H,1586,4446,True,,-0.06850757972415397,0.006111130769010222,-0.08048517593622857,-0.05652998351207937,3.629808969911147e-29,1.4519235879644588e-28
exclude_confirmed_defective_ar,every,BQA,AR,I,answer_f1,questions without I,1520,4512,True,,-0.10655250715440573,0.0053288635477326835,-0.11699688778649013,-0.09610812652232133,6.044976925294431e-89,4.835981540235545e-88
exclude_confirmed_defective_ar,every,BQA,AR,I,answer_exact_match,questions without I,1520,4512,True,,-0.10655250715440573,0.0053288635477326835,-0.11699688778649013,-0.09610812652232133,6.044976925294431e-89,4.835981540235545e-88
exclude_confirmed_defective_ar,every,BQA,AR,N,answer_f1,questions without N,78,5954,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,AR,N,answer_exact_match,questions without N,78,5954,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,AR,R,answer_f1,questions without R,664,5368,True,,-0.12674169105633415,0.005829358827782324,-0.13816702441174813,-0.11531635770092016,8.230654178202958e-105,7.407588760382662e-104
exclude_confirmed_defective_ar,every,BQA,AR,R,answer_exact_match,questions without R,664,5368,True,,-0.12674169105633415,0.005829358827782324,-0.13816702441174813,-0.11531635770092016,8.230654178202958e-105,7.407588760382662e-104
exclude_confirmed_defective_ar,every,BQA,AR,S,answer_f1,questions without S,40,5992,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,AR,S,answer_exact_match,questions without S,40,5992,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,AR,T,answer_f1,questions without T,0,6032,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,AR,T,answer_exact_match,questions without T,0,6032,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,FS,D,answer_f1,questions without D,6032,0,False,tag ubiquitous,,,,,,
exclude_confirmed_defective_ar,every,BQA,FS,D,answer_exact_match,questions without D,6032,0,False,tag ubiquitous,,,,,,
exclude_confirmed_defective_ar,every,BQA,FS,H,answer_f1,questions without H,1586,4446,True,,-0.15041579709398323,0.008228921282479488,-0.16654418643925817,-0.1342874077487083,1.2181345940703296e-74,8.526942158492307e-74
exclude_confirmed_defective_ar,every,BQA,FS,H,answer_exact_match,questions without H,1586,4446,True,,-0.15041579709398323,0.008228921282479488,-0.16654418643925817,-0.1342874077487083,1.2181345940703296e-74,8.526942158492307e-74
exclude_confirmed_defective_ar,every,BQA,FS,I,answer_f1,questions without I,1520,4512,True,,0.0845752457384436,0.006498989414620489,0.0718374605498804,0.09731303092700681,1.0240245731253457e-38,5.120122865626729e-38
exclude_confirmed_defective_ar,every,BQA,FS,I,answer_exact_match,questions without I,1520,4512,True,,0.0845752457384436,0.006498989414620489,0.0718374605498804,0.09731303092700681,1.0240245731253457e-38,5.120122865626729e-38
exclude_confirmed_defective_ar,every,BQA,FS,N,answer_f1,questions without N,78,5954,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,FS,N,answer_exact_match,questions without N,78,5954,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,FS,R,answer_f1,questions without R,664,5368,True,,0.053815111414357665,0.008479347704803252,0.037195895300550924,0.0704343275281644,2.201114377088919e-10,4.402228754177838e-10
exclude_confirmed_defective_ar,every,BQA,FS,R,answer_exact_match,questions without R,664,5368,True,,0.053815111414357665,0.008479347704803252,0.037195895300550924,0.0704343275281644,2.201114377088919e-10,4.402228754177838e-10
exclude_confirmed_defective_ar,every,BQA,FS,S,answer_f1,questions without S,40,5992,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,FS,S,answer_exact_match,questions without S,40,5992,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,FS,T,answer_f1,questions without T,0,6032,False,tag sparse; descriptive only,,,,,,
exclude_confirmed_defective_ar,every,BQA,FS,T,answer_exact_match,questions without T,0,6032,False,tag sparse; descriptive only,,,,,,
