task,representation,scope,tag_basis_every,tag,n_unique_questions_every,n_observations_every,n_clusters_every,answer_f1_mean_every,answer_f1_se_clustered_every,answer_f1_ci95_low_every,answer_f1_ci95_high_every,answer_exact_match_mean_every,answer_exact_match_se_clustered_every,answer_exact_match_ci95_low_every,answer_exact_match_ci95_high_every,tag_basis_any,n_unique_questions_any,n_observations_any,n_clusters_any,answer_f1_mean_any,answer_f1_se_clustered_any,answer_f1_ci95_low_any,answer_f1_ci95_high_any,answer_exact_match_mean_any,answer_exact_match_se_clustered_any,answer_exact_match_ci95_low_any,answer_exact_match_ci95_high_any,answer_f1_mean_any_minus_every,n_unique_questions_any_minus_every
OEQA,NL,all,every,H,781,2343,781,0.17756802723749499,0.008805524360507013,0.16028269484040655,0.19485335963458342,0.09475032010243278,0.0076026413293953645,0.07982625912727533,0.10967438107759024,any,1006,3018,1006,0.16799703379410572,0.007643528808779514,0.15299792892319636,0.18299613866501507,0.08449304174950298,0.006345303835541639,0.07204147912076614,0.09694460437823982,-0.00957099344338927,225
BQA,AR,all,every,I,1520,4560,760,0.5506578947368421,0.0034612735031306907,0.5438630880647369,0.5574527014089473,0.5506578947368421,0.0034612735031306907,0.5438630880647369,0.5574527014089473,any,1520,4560,760,0.5506578947368421,0.0034612735031306907,0.5438630880647369,0.5574527014089473,0.5506578947368421,0.0034612735031306907,0.5438630880647369,0.5574527014089473,0.0,0
BQA,FS,all,every,I,1520,4560,760,0.8763157894736842,0.005049340070043871,0.8664034581983228,0.8862281207490456,0.8763157894736842,0.005049340070043871,0.8664034581983228,0.8862281207490456,any,1520,4560,760,0.8763157894736842,0.005049340070043871,0.8664034581983228,0.8862281207490456,0.8763157894736842,0.005049340070043871,0.8664034581983228,0.8862281207490456,0.0,0
BQA,NL,all,every,I,1520,4560,760,0.7013157894736842,0.006887677854625474,0.6877946275661986,0.7148369513811699,0.7013157894736842,0.006887677854625474,0.6877946275661986,0.7148369513811699,any,1520,4560,760,0.7013157894736842,0.006887677854625474,0.6877946275661986,0.7148369513811699,0.7013157894736842,0.006887677854625474,0.6877946275661986,0.7148369513811699,0.0,0
OEQA,AR,all,every,I,802,2406,802,0.12665705557598556,0.007632480574661777,0.11167503028572968,0.1416390808662414,0.04530340814630091,0.005425464734228295,0.034653600516334995,0.05595321577626683,any,802,2406,802,0.12665705557598556,0.007632480574661777,0.11167503028572968,0.1416390808662414,0.04530340814630091,0.005425464734228295,0.034653600516334995,0.05595321577626683,0.0,0
OEQA,FS,all,every,I,802,2406,802,0.6403303263342068,0.012797938807857559,0.615208867981728,0.6654517846866856,0.571072319201995,0.014042205643070307,0.5435084521187465,0.5986361862852434,any,802,2406,802,0.6403303263342068,0.012797938807857559,0.615208867981728,0.6654517846866856,0.571072319201995,0.014042205643070307,0.5435084521187465,0.5986361862852434,0.0,0
OEQA,NL,all,every,I,802,2406,802,0.3189348812636297,0.012786242288660583,0.29383638235987836,0.344033380167381,0.1974231088944306,0.012208050330356105,0.1734595603462292,0.221386657442632,any,802,2406,802,0.3189348812636297,0.012786242288660583,0.29383638235987836,0.344033380167381,0.1974231088944306,0.012208050330356105,0.1734595603462292,0.221386657442632,0.0,0
BQA,AR,all,every,N,78,234,39,0.5,0.013690668280281783,0.47228469103334286,0.5277153089666572,0.5,0.013690668280281783,0.47228469103334286,0.5277153089666572,any,78,234,39,0.5,0.013690668280281783,0.47228469103334286,0.5277153089666572,0.5,0.013690668280281783,0.47228469103334286,0.5277153089666572,0.0,0
BQA,FS,all,every,N,78,234,39,0.5641025641025641,0.013153568616476333,0.5374745565607538,0.5907305716443744,0.5641025641025641,0.013153568616476333,0.5374745565607538,0.5907305716443744,any,78,234,39,0.5641025641025641,0.013153568616476333,0.5374745565607538,0.5907305716443744,0.5641025641025641,0.013153568616476333,0.5374745565607538,0.5907305716443744,0.0,0
BQA,NL,all,every,N,78,234,39,0.6538461538461539,0.007204506242936106,0.6392613934540866,0.6684309142382211,0.6538461538461539,0.007204506242936106,0.6392613934540866,0.6684309142382211,any,78,234,39,0.6538461538461539,0.007204506242936106,0.6392613934540866,0.6684309142382211,0.6538461538461539,0.007204506242936106,0.6392613934540866,0.6684309142382211,0.0,0
OEQA,AR,all,every,N,42,126,42,0.00031746031746031665,0.00031746031746031665,0.0,0.0009585844350607517,0.0,0.0,0.0,0.0,any,42,126,42,0.00031746031746031665,0.00031746031746031665,0.0,0.0009585844350607517,0.0,0.0,0.0,0.0,0.0,0
OEQA,FS,all,every,N,42,126,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,any,42,126,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OEQA,NL,all,every,N,42,126,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,any,42,126,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BQA,AR,all,every,R,664,1992,332,0.517570281124498,0.004643722884598066,0.5084353500765532,0.5267052121724428,0.517570281124498,0.004643722884598066,0.5084353500765532,0.5267052121724428,any,1336,4008,668,0.5082335329341318,0.0025139220750923902,0.5032973791493447,0.5131696867189188,0.5082335329341318,0.0025139220750923902,0.5032973791493447,0.5131696867189188,-0.009336748190366229,672
BQA,FS,all,every,R,664,1992,332,0.8609437751004017,0.0076560606870948525,0.845883103261551,0.8760044469392523,0.8609437751004017,0.0076560606870948525,0.845883103261551,0.8760044469392523,any,1336,4008,668,0.750998003992016,0.008232042208964166,0.7348341671297252,0.7671618408543068,0.750998003992016,0.008232042208964166,0.7348341671297252,0.7671618408543068,-0.10994577110838566,672
BQA,NL,all,every,R,664,1992,332,0.6054216867469879,0.007340529755277172,0.5909817137261499,0.6198616597678259,0.6054216867469879,0.007340529755277172,0.5909817137261499,0.6198616597678259,any,1336,4008,668,0.6309880239520959,0.005334142072745055,0.6205142921519546,0.6414617557522371,0.6309880239520959,0.005334142072745055,0.6205142921519546,0.6414617557522371,0.025566337205107925,672
OEQA,AR,all,every,R,381,1143,381,0.020071859704405635,0.005644991137419525,0.00897252912137572,0.03117119028743555,0.006124234470691163,0.0035983210161052315,0.0,0.0131993482360377,any,501,1503,501,0.01526422863748213,0.004308611063011204,0.0067990150100527575,0.023729442264911506,0.004657351962741184,0.002738081947592725,0.0,0.01003691588178783,-0.004807631066923505,120
OEQA,FS,all,every,R,381,1143,381,0.01621463983668708,0.0041241823108187515,0.00810556371271874,0.02432371596065542,0.0008748906386701663,0.0008748906386701658,0.0,0.002595123706571379,any,501,1503,501,0.012330893768019515,0.0031506033562657488,0.006140840853973005,0.018520946682066025,0.0006653359946773121,0.000665335994677312,0.0,0.001972534822000894,-0.003883746068667565,120
OEQA,NL,all,every,R,381,1143,381,0.1631165422504005,0.009400559904574416,0.14463291322310248,0.18160017127769854,0.009623797025371828,0.003984052750623615,0.0017902473416046647,0.01745734670913899,any,501,1503,501,0.16752800315674565,0.009310636893867784,0.14923521015190827,0.18582079616158304,0.02927478376580173,0.005497463216379176,0.018473808728834536,0.040075758802768924,0.004411460906345144,120
BQA,AR,all,every,S,40,120,20,0.7333333333333333,0.028097574347450822,0.6745244343535941,0.7921422323130725,0.7333333333333333,0.028097574347450822,0.6745244343535941,0.7921422323130725,any,40,120,20,0.7333333333333333,0.028097574347450822,0.6745244343535941,0.7921422323130725,0.7333333333333333,0.028097574347450822,0.6745244343535941,0.7921422323130725,0.0,0
BQA,FS,all,every,S,40,120,20,0.975,0.013652967031818753,0.9464240115883603,1.0,0.975,0.013652967031818753,0.9464240115883603,1.0,any,40,120,20,0.975,0.013652967031818753,0.9464240115883603,1.0,0.975,0.013652967031818753,0.9464240115883603,1.0,0.0,0
BQA,NL,all,every,S,40,120,20,0.8166666666666667,0.03991950965958861,0.7331141727089647,0.9002191606243686,0.8166666666666667,0.03991950965958861,0.7331141727089647,0.9002191606243686,any,40,120,20,0.8166666666666667,0.03991950965958861,0.7331141727089647,0.9002191606243686,0.8166666666666667,0.03991950965958861,0.7331141727089647,0.9002191606243686,0.0,0
OEQA,AR,all,every,S,16,48,16,0.6298611111111111,0.0872341272248132,0.44392597028051883,0.8157962519417034,0.5,0.09128709291752768,0.3054261672855039,0.6945738327144961,any,16,48,16,0.6298611111111111,0.0872341272248132,0.44392597028051883,0.8157962519417034,0.5,0.09128709291752768,0.3054261672855039,0.6945738327144961,0.0,0
OEQA,FS,all,every,S,16,48,16,0.7180555555555556,0.04059580701655163,0.6315276411385126,0.8045834699725986,0.6041666666666666,0.0625,0.47095107006920894,0.7373822632641243,any,16,48,16,0.7180555555555556,0.04059580701655163,0.6315276411385126,0.8045834699725986,0.6041666666666666,0.0625,0.47095107006920894,0.7373822632641243,0.0,0
OEQA,NL,all,every,S,16,48,16,0.7180555555555554,0.08562812578776863,0.5355435257581195,0.9005675853529914,0.5833333333333334,0.11180339887498948,0.34503002960924933,0.8216366370574174,any,16,48,16,0.7180555555555554,0.08562812578776863,0.5355435257581195,0.9005675853529914,0.5833333333333334,0.11180339887498948,0.34503002960924933,0.8216366370574174,0.0,0
OEQA,AR,all,every,T,1,3,1,0.0,,,,0.0,,,,any,1,3,1,0.0,,,,0.0,,,,0.0,0
OEQA,FS,all,every,T,1,3,1,0.4444444444444444,,,,0.0,,,,any,1,3,1,0.4444444444444444,,,,0.0,,,,0.0,0
OEQA,NL,all,every,T,1,3,1,0.48888888888888893,,,,0.0,,,,any,1,3,1,0.48888888888888893,,,,0.0,,,,0.0,0
