model,dataset,task,representation,hop,complexity_bin,n,answer_exact_match,answer_f1,confidence_correctness_alignment,oeqa_n,oeqa_empty_predictions,oeqa_generated_answers,oeqa_unsupported_answers,oeqa_hallucination_rate,malformed_accepted
GPT-5 mini,OWL2Bench,BQA,NL,2hop,Low,534,0.6161048689138576,0.6161048689138576,0.6254868913857677,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,NL,2hop,Medium,446,0.7443946188340808,0.7443946188340808,0.7265919282511211,0,0,0,0,,0
GPT-5 mini,OWL2Bench,OEQA,AR,1hop,High,48,0.5833333333333334,0.6846891534391535,0.6846891534391535,48,2,213,5,0.023474178403755867,0
GPT-5 mini,OWL2Bench,OEQA,AR,1hop,Low,351,0.6324786324786325,0.6495726495726496,0.6507122507122507,351,50,366,70,0.1912568306010929,0
GPT-5 mini,OWL2Bench,OEQA,AR,1hop,Medium,90,0.3333333333333333,0.4355555555555556,0.5016666666666667,90,0,227,73,0.32158590308370044,0
GPT-5 mini,OWL2Bench,OEQA,AR,2hop,High,50,0.02,0.1967157287157287,0.3917157287157287,50,19,42,6,0.14285714285714285,0
GPT-5 mini,OWL2Bench,OEQA,AR,2hop,Low,391,0.17902813299232737,0.19778346121057117,0.4290622335890878,391,241,187,85,0.45454545454545453,0
GPT-5 mini,OWL2Bench,OEQA,AR,2hop,Medium,90,0.06666666666666667,0.17296296296296296,0.5158518518518519,90,58,57,6,0.10526315789473684,0
GPT-5 mini,OWL2Bench,OEQA,FS,1hop,High,48,0.6875,0.7609126984126985,0.765079365079365,48,0,253,15,0.05928853754940711,0
GPT-5 mini,OWL2Bench,OEQA,FS,1hop,Low,351,0.7749287749287749,0.792022792022792,0.7960683760683761,351,12,466,117,0.2510729613733906,0
GPT-5 mini,OWL2Bench,OEQA,FS,1hop,Medium,90,0.45555555555555555,0.5011111111111112,0.4988888888888889,90,2,256,76,0.296875,0
GPT-5 mini,OWL2Bench,OEQA,FS,2hop,High,50,0.64,0.7287142857142856,0.7487142857142857,50,1,250,18,0.072,0
GPT-5 mini,OWL2Bench,OEQA,FS,2hop,Low,391,0.6828644501278772,0.7041773231031543,0.7263256606990622,391,54,472,119,0.2521186440677966,0
GPT-5 mini,OWL2Bench,OEQA,FS,2hop,Medium,90,0.32222222222222224,0.36962962962962964,0.37507407407407406,90,0,241,109,0.45228215767634855,0
GPT-5 mini,OWL2Bench,OEQA,NL,1hop,High,48,0.7291666666666666,0.8177579365079365,0.8115079365079364,48,0,255,5,0.0196078431372549,0
GPT-5 mini,OWL2Bench,OEQA,NL,1hop,Low,351,0.6695156695156695,0.6853276353276354,0.7039031339031339,351,7,476,161,0.3382352941176471,1
GPT-5 mini,OWL2Bench,OEQA,NL,1hop,Medium,90,0.4777777777777778,0.5311111111111111,0.5664444444444444,90,0,238,49,0.20588235294117646,0
GPT-5 mini,OWL2Bench,OEQA,NL,2hop,High,50,0.04,0.20636507936507936,0.5671650793650794,50,20,52,11,0.21153846153846154,0
GPT-5 mini,OWL2Bench,OEQA,NL,2hop,Low,391,0.2020460358056266,0.26965268320767044,0.649311677240066,391,195,318,173,0.5440251572327044,0
GPT-5 mini,OWL2Bench,OEQA,NL,2hop,Medium,90,0.17777777777777778,0.4282010582010582,0.7122751322751323,90,8,202,83,0.41089108910891087,0
GPT-5 mini,Pizza100,BQA,AR,1hop,High,112,0.5,0.5,0.48660714285714285,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,AR,1hop,Low,98,1.0,1.0,1.0,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,AR,1hop,Medium,120,0.5,0.5,0.48500000000000004,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,AR,2hop,High,112,0.5,0.5,0.4888392857142857,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,AR,2hop,Low,98,0.8877551020408163,0.8877551020408163,0.9101020408163265,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,AR,2hop,Medium,120,0.5,0.5,0.492,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,FS,1hop,High,112,0.5178571428571429,0.5178571428571429,0.5433035714285714,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,FS,1hop,Low,98,0.5,0.5,0.5,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,FS,1hop,Medium,120,0.5166666666666667,0.5166666666666667,0.51875,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,FS,2hop,High,112,0.5,0.5,0.5103571428571428,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,FS,2hop,Low,98,0.5,0.5,0.5214285714285715,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,FS,2hop,Medium,120,0.5083333333333333,0.5083333333333333,0.5158333333333334,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,NL,1hop,High,112,0.8482142857142857,0.8482142857142857,0.7498214285714286,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,NL,1hop,Low,98,1.0,1.0,0.9771428571428572,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,NL,1hop,Medium,120,0.7333333333333333,0.7333333333333333,0.7170833333333333,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,NL,2hop,High,112,0.6875,0.6875,0.6608035714285715,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,NL,2hop,Low,98,0.4897959183673469,0.4897959183673469,0.49408163265306126,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,NL,2hop,Medium,120,0.5666666666666667,0.5666666666666667,0.5634166666666667,0,0,0,0,,0
GPT-5 mini,Pizza100,OEQA,AR,1hop,High,59,0.2542372881355932,0.2542372881355932,0.2542372881355932,59,37,108,7,0.06481481481481481,0
GPT-5 mini,Pizza100,OEQA,AR,1hop,Low,23,0.6086956521739131,0.6086956521739131,0.6086956521739131,23,9,38,0,0.0,0
GPT-5 mini,Pizza100,OEQA,AR,1hop,Medium,83,0.21686746987951808,0.21686746987951808,0.21686746987951808,83,11,141,54,0.3829787234042553,0
GPT-5 mini,Pizza100,OEQA,AR,2hop,High,58,0.1896551724137931,0.22490421455938697,0.4055938697318008,58,37,90,6,0.06666666666666667,0
GPT-5 mini,Pizza100,OEQA,AR,2hop,Low,23,0.6521739130434783,0.6521739130434783,0.6434782608695653,23,8,40,0,0.0,0
GPT-5 mini,Pizza100,OEQA,AR,2hop,Medium,84,0.14285714285714285,0.14965986394557823,0.22930272108843536,84,15,130,70,0.5384615384615384,0
GPT-5 mini,Pizza100,OEQA,FS,1hop,High,59,0.6949152542372882,0.6949152542372882,0.6759322033898305,59,11,291,14,0.048109965635738834,0
GPT-5 mini,Pizza100,OEQA,FS,1hop,Low,23,0.8695652173913043,0.8695652173913043,0.8173913043478261,23,3,49,0,0.0,0
GPT-5 mini,Pizza100,OEQA,FS,1hop,Medium,83,0.25301204819277107,0.25301204819277107,0.24903614457831327,83,55,108,14,0.12962962962962962,0
GPT-5 mini,Pizza100,OEQA,FS,2hop,High,58,0.41379310344827586,0.49404580051325064,0.5873582352049957,58,20,242,10,0.04132231404958678,0
GPT-5 mini,Pizza100,OEQA,FS,2hop,Low,23,0.6086956521739131,0.6086956521739131,0.6891304347826087,23,9,35,0,0.0,0
GPT-5 mini,Pizza100,OEQA,FS,2hop,Medium,84,0.17857142857142858,0.1921768707482993,0.2220238095238095,84,52,92,30,0.32608695652173914,0
GPT-5 mini,Pizza100,OEQA,NL,1hop,High,59,0.5084745762711864,0.5807102502017756,0.5973204196933011,59,0,348,121,0.34770114942528735,0
GPT-5 mini,Pizza100,OEQA,NL,1hop,Low,23,0.4782608695652174,0.4782608695652174,0.46956521739130436,23,0,56,30,0.5357142857142857,0
GPT-5 mini,Pizza100,OEQA,NL,1hop,Medium,83,0.21686746987951808,0.23614457831325303,0.36132530120481926,83,5,181,99,0.5469613259668509,0
GPT-5 mini,Pizza100,OEQA,NL,2hop,High,58,0.27586206896551724,0.41641065434483787,0.716497023589594,58,12,280,45,0.16071428571428573,0
GPT-5 mini,Pizza100,OEQA,NL,2hop,Low,23,0.5217391304347826,0.6507246376811594,0.7159420289855073,23,0,90,56,0.6222222222222222,0
GPT-5 mini,Pizza100,OEQA,NL,2hop,Medium,84,0.15476190476190477,0.33321995464852605,0.5945861678004535,84,3,202,107,0.5297029702970297,2
GPT-5 mini,Pizza250,BQA,AR,1hop,High,140,0.5,0.5,0.5051428571428571,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,AR,1hop,Low,126,1.0,1.0,0.9996031746031746,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,AR,1hop,Medium,146,0.5,0.5,0.4773972602739726,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,AR,2hop,High,140,0.5,0.5,0.5408571428571428,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,AR,2hop,Low,128,0.8046875,0.8046875,0.821484375,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,AR,2hop,Medium,144,0.5,0.5,0.5062500000000001,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,FS,1hop,High,140,0.5357142857142857,0.5357142857142857,0.5545,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,FS,1hop,Low,126,0.5,0.5,0.5015873015873016,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,FS,1hop,Medium,146,0.5273972602739726,0.5273972602739726,0.5255479452054794,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,FS,2hop,High,140,0.5,0.5,0.5096428571428571,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,FS,2hop,Low,128,0.5,0.5,0.523828125,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,FS,2hop,Medium,144,0.5277777777777778,0.5277777777777778,0.5288888888888889,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,NL,1hop,High,140,0.8142857142857143,0.8142857142857143,0.7107142857142857,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,NL,1hop,Low,126,1.0,1.0,0.9752380952380952,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,NL,1hop,Medium,146,0.7534246575342466,0.7534246575342466,0.726027397260274,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,NL,2hop,High,140,0.6785714285714286,0.6785714285714286,0.6710714285714285,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,NL,2hop,Low,128,0.5,0.5,0.498671875,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,NL,2hop,Medium,144,0.5138888888888888,0.5138888888888888,0.5288194444444445,0,0,0,0,,0
GPT-5 mini,Pizza250,OEQA,AR,1hop,High,86,0.3488372093023256,0.3488372093023256,0.3430232558139535,86,52,204,4,0.0196078431372549,1
GPT-5 mini,Pizza250,OEQA,AR,1hop,Low,21,0.7619047619047619,0.7619047619047619,0.7619047619047619,21,5,43,0,0.0,0
GPT-5 mini,Pizza250,OEQA,AR,1hop,Medium,99,0.21212121212121213,0.21212121212121213,0.21212121212121213,99,10,170,68,0.4,0
GPT-5 mini,Pizza250,OEQA,AR,2hop,High,86,0.09302325581395349,0.17822997416020672,0.45652454780361756,86,59,93,4,0.043010752688172046,0
GPT-5 mini,Pizza250,OEQA,AR,2hop,Low,21,0.42857142857142855,0.47619047619047616,0.6771428571428572,21,9,28,1,0.03571428571428571,0
GPT-5 mini,Pizza250,OEQA,AR,2hop,Medium,99,0.1717171717171717,0.1717171717171717,0.3468686868686869,99,28,162,77,0.47530864197530864,0
GPT-5 mini,Pizza250,OEQA,FS,1hop,High,86,0.6046511627906976,0.6046511627906976,0.5937209302325581,86,31,358,6,0.01675977653631285,0
GPT-5 mini,Pizza250,OEQA,FS,1hop,Low,21,0.8571428571428571,0.8571428571428571,0.8071428571428572,21,3,46,0,0.0,0
GPT-5 mini,Pizza250,OEQA,FS,1hop,Medium,99,0.25252525252525254,0.25252525252525254,0.25303030303030305,99,68,121,12,0.09917355371900827,0
GPT-5 mini,Pizza250,OEQA,FS,2hop,High,86,0.4186046511627907,0.45419309372797745,0.5377448907681466,86,43,240,4,0.016666666666666666,0
GPT-5 mini,Pizza250,OEQA,FS,2hop,Low,21,0.3333333333333333,0.3761904761904762,0.52,21,12,19,1,0.05263157894736842,0
GPT-5 mini,Pizza250,OEQA,FS,2hop,Medium,99,0.12121212121212122,0.14750681417348083,0.18318582651915985,99,77,65,12,0.18461538461538463,0
GPT-5 mini,Pizza250,OEQA,NL,1hop,High,86,0.5116279069767442,0.625231096555563,0.6376729570206793,86,2,585,221,0.37777777777777777,0
GPT-5 mini,Pizza250,OEQA,NL,1hop,Low,21,0.6666666666666666,0.6666666666666666,0.6619047619047619,21,0,53,19,0.3584905660377358,0
GPT-5 mini,Pizza250,OEQA,NL,1hop,Medium,99,0.1919191919191919,0.2080808080808081,0.2926262626262626,99,4,205,117,0.5707317073170731,0
GPT-5 mini,Pizza250,OEQA,NL,2hop,High,86,0.06976744186046512,0.4294734980781492,0.7207585566887893,86,20,338,118,0.34911242603550297,0
GPT-5 mini,Pizza250,OEQA,NL,2hop,Low,21,0.47619047619047616,0.5857142857142857,0.7476190476190476,21,0,79,49,0.620253164556962,0
GPT-5 mini,Pizza250,OEQA,NL,2hop,Medium,99,0.10101010101010101,0.2692881192881193,0.5766329966329966,99,6,207,116,0.5603864734299517,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,AR,1hop,High,90,0.5,0.5,0.5288888888888889,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,AR,1hop,Low,300,0.81,0.81,0.81,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,AR,1hop,Medium,864,0.5358796296296297,0.5358796296296297,0.5380787037037037,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,AR,2hop,High,90,0.5,0.5,0.54,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,AR,2hop,Low,300,0.62,0.62,0.62,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,AR,2hop,Medium,864,0.5625,0.5625,0.5538194444444444,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,FS,1hop,High,90,0.9555555555555556,0.9555555555555556,0.9555555555555556,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,FS,1hop,Low,300,0.9966666666666667,0.9966666666666667,0.9966666666666667,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,FS,1hop,Medium,864,0.9166666666666666,0.9166666666666666,0.9166666666666666,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,FS,2hop,High,90,0.9444444444444444,0.9444444444444444,0.9444444444444444,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,FS,2hop,Low,300,0.8866666666666667,0.8866666666666667,0.8866666666666667,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,FS,2hop,Medium,864,0.8969907407407407,0.8969907407407407,0.8969907407407407,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,NL,1hop,High,90,0.5111111111111111,0.5111111111111111,0.6111111111111112,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,NL,1hop,Low,300,0.77,0.77,0.767,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,NL,1hop,Medium,864,0.7048611111111112,0.7048611111111112,0.7200231481481482,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,NL,2hop,High,90,0.4777777777777778,0.4777777777777778,0.5427777777777778,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,NL,2hop,Low,300,0.6133333333333333,0.6133333333333333,0.6443333333333334,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,NL,2hop,Medium,864,0.5648148148148148,0.5648148148148148,0.6032986111111112,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,AR,1hop,High,70,0.17142857142857143,0.32223777622937283,0.42652349051508714,70,7,220,63,0.2863636363636364,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,AR,1hop,Low,454,0.22026431718061673,0.3271401475421299,0.4239830256625411,454,36,2525,2303,0.9120792079207921,1
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,AR,1hop,Medium,103,0.11650485436893204,0.30254626710937393,0.3899249078860729,103,5,475,381,0.8021052631578948,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,AR,2hop,High,70,0.014285714285714285,0.08399330827902256,0.2768504511361654,70,1,212,183,0.8632075471698113,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,AR,2hop,Low,454,0.05726872246696035,0.0784090909090909,0.18898177813376052,454,16,2108,2051,0.9729601518026565,1
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,AR,2hop,Medium,103,0.009708737864077669,0.06907587198849334,0.39820208558072634,103,9,372,349,0.9381720430107527,1
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,FS,1hop,High,70,0.38571428571428573,0.39880952380952384,0.39880952380952384,70,0,269,63,0.2342007434944238,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,FS,1hop,Low,454,0.5440528634361234,0.5698709880427942,0.5698709880427942,454,0,603,283,0.4693200663349917,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,FS,1hop,Medium,103,0.2524271844660194,0.27928802588996765,0.27928802588996765,103,0,215,103,0.4790697674418605,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,FS,2hop,High,70,0.24285714285714285,0.24693877551020407,0.24693877551020407,70,0,211,87,0.41232227488151657,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,FS,2hop,Low,454,0.5066079295154186,0.578377704038497,0.578377704038497,454,1,671,337,0.5022354694485842,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,FS,2hop,Medium,103,0.17475728155339806,0.2078979811989521,0.2078979811989521,103,1,201,126,0.6268656716417911,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,NL,1hop,High,70,0.07142857142857142,0.5351705040990755,0.5632657421943137,70,2,251,81,0.32270916334661354,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,NL,1hop,Low,454,0.3502202643171806,0.4105097958451953,0.5754877694134772,454,50,1123,884,0.7871772039180766,2
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,NL,1hop,Medium,103,0.06796116504854369,0.48259361997226075,0.6156033287101248,103,9,156,40,0.2564102564102564,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,NL,2hop,High,70,0.0,0.16721595864453007,0.5534064348350062,70,18,79,41,0.5189873417721519,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,NL,2hop,Low,454,0.1145374449339207,0.1418869309838473,0.6794419970631423,454,206,331,249,0.7522658610271903,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,NL,2hop,Medium,103,0.019417475728155338,0.1971104946833102,0.5150716597318539,103,29,122,79,0.6475409836065574,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,AR,1hop,High,4,0.5,0.5,0.5,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,AR,1hop,Low,532,0.9661654135338346,0.9661654135338346,0.9661654135338346,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,AR,1hop,Medium,442,0.5429864253393665,0.5429864253393665,0.5461538461538462,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,AR,2hop,High,82,0.4878048780487805,0.4878048780487805,0.4878048780487805,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,AR,2hop,Low,534,0.6273408239700374,0.6273408239700374,0.6273408239700374,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,AR,2hop,Medium,446,0.5448430493273543,0.5448430493273543,0.5504484304932735,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,FS,1hop,High,4,1.0,1.0,1.0,0,0,0,0,,0
