model,dataset,task,representation,hop,n,answer_exact_match,answer_f1,confidence_correctness_alignment,oeqa_n,oeqa_empty_predictions,oeqa_generated_answers,oeqa_unsupported_answers,oeqa_hallucination_rate,malformed_accepted
GPT-5 mini,Pizza100,BQA,AR,1hop,330,0.6484848484848484,0.6484848484848484,0.6384848484848484,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,AR,2hop,330,0.6151515151515151,0.6151515151515151,0.615090909090909,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,FS,1hop,330,0.5121212121212121,0.5121212121212121,0.5215151515151515,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,FS,2hop,330,0.503030303030303,0.503030303030303,0.5156363636363637,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,NL,1hop,330,0.8515151515151516,0.8515151515151516,0.8054242424242425,0,0,0,0,,0
GPT-5 mini,Pizza100,BQA,NL,2hop,330,0.5848484848484848,0.5848484848484848,0.5758787878787879,0,0,0,0,,0
GPT-5 mini,Pizza100,OEQA,AR,1hop,165,0.28484848484848485,0.28484848484848485,0.28484848484848485,165,57,287,61,0.21254355400696864,0
GPT-5 mini,Pizza100,OEQA,AR,2hop,165,0.23030303030303031,0.24615680615680616,0.34900529100529104,165,60,260,76,0.2923076923076923,0
GPT-5 mini,Pizza100,OEQA,FS,1hop,165,0.49696969696969695,0.49696969696969695,0.4809090909090909,165,69,448,28,0.0625,0
GPT-5 mini,Pizza100,OEQA,FS,2hop,165,0.3212121212121212,0.35634856710682233,0.41555622813266513,165,81,369,40,0.10840108401084012,0
GPT-5 mini,Pizza100,OEQA,NL,1hop,165,0.3575757575757576,0.3931024531024531,0.46079942279942276,165,5,585,250,0.42735042735042733,0
GPT-5 mini,Pizza100,OEQA,NL,2hop,165,0.24848484848484848,0.4067209746008694,0.6543559523036437,165,15,572,208,0.36363636363636365,2
GPT-5 mini,Pizza250,BQA,AR,1hop,412,0.6529126213592233,0.6529126213592233,0.6465291262135923,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,AR,2hop,412,0.5946601941747572,0.5946601941747572,0.6159466019417476,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,FS,1hop,412,0.5218446601941747,0.5218446601941747,0.5280582524271845,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,FS,2hop,412,0.5097087378640777,0.5097087378640777,0.5207766990291263,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,NL,1hop,412,0.8495145631067961,0.8495145631067961,0.7970388349514563,0,0,0,0,,0
GPT-5 mini,Pizza250,BQA,NL,2hop,412,0.5655339805825242,0.5655339805825242,0.5677912621359223,0,0,0,0,,0
GPT-5 mini,Pizza250,OEQA,AR,1hop,206,0.32524271844660196,0.32524271844660196,0.32281553398058255,206,67,417,72,0.17266187050359713,1
GPT-5 mini,Pizza250,OEQA,AR,2hop,206,0.1650485436893204,0.20547464940668822,0.4263160733549083,206,96,283,82,0.28975265017667845,0
GPT-5 mini,Pizza250,OEQA,FS,1hop,206,0.46116504854368934,0.46116504854368934,0.451747572815534,206,102,525,18,0.03428571428571429,0
GPT-5 mini,Pizza250,OEQA,FS,2hop,206,0.2669902912621359,0.29885330419311,0.3655410554925118,206,132,324,17,0.05246913580246913,0
GPT-5 mini,Pizza250,OEQA,NL,1hop,206,0.3737864077669903,0.42897997234843893,0.4743197781736816,206,6,843,357,0.4234875444839858,0
GPT-5 mini,Pizza250,OEQA,NL,2hop,206,0.1262135922330097,0.36841866332157597,0.6542325366111773,206,26,624,283,0.453525641025641,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,AR,1hop,1254,0.5988835725677831,0.5988835725677831,0.6024720893141946,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,AR,2hop,1254,0.5717703349282297,0.5717703349282297,0.5686602870813398,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,FS,1hop,1254,0.9385964912280702,0.9385964912280702,0.9385964912280702,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,FS,2hop,1254,0.89792663476874,0.89792663476874,0.89792663476874,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,NL,1hop,1254,0.7065390749601276,0.7065390749601276,0.7234449760765551,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,BQA,NL,2hop,1254,0.5701754385964912,0.5701754385964912,0.6087719298245614,0,0,0,0,,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,AR,1hop,627,0.19776714513556617,0.3225526903228845,0.4186717759156543,627,48,3220,2747,0.8531055900621118,1
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,AR,2hop,627,0.044657097288676235,0.07749932004317969,0.23316120202085114,627,26,2692,2583,0.9595096582466568,2
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,FS,1hop,627,0.4784688995215311,0.50303789777474,0.50303789777474,627,0,1087,449,0.41306347746090155,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,FS,2hop,627,0.4226475279106858,0.48051464750029343,0.48051464750029343,627,2,1083,550,0.5078485687903971,0
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,NL,1hop,627,0.2727272727272727,0.4362687806344447,0.5807132250788891,627,61,1530,1005,0.6568627450980392,2
Gemini 2.5 Flash-Lite,FamilyOWL,OEQA,NL,2hop,627,0.0861244019138756,0.15378654660951313,0.6383692154027083,627,253,532,369,0.693609022556391,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,AR,1hop,978,0.7730061349693251,0.7730061349693251,0.7744376278118609,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,AR,2hop,1062,0.5819209039548022,0.5819209039548022,0.5842749529190208,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,FS,1hop,978,0.8067484662576687,0.8067484662576687,0.8067484662576687,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,FS,2hop,1062,0.8691148775894538,0.8691148775894538,0.8691148775894538,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,NL,1hop,978,0.7188139059304703,0.7188139059304703,0.7204498977505113,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,BQA,NL,2hop,1062,0.564030131826742,0.564030131826742,0.5290960451977401,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,AR,1hop,489,0.5705521472392638,0.6201739864316551,0.6999285876586491,489,39,869,206,0.23705408515535098,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,AR,2hop,531,0.2033898305084746,0.26348026780824496,0.3080188742112582,531,10,1191,944,0.7926112510495382,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,FS,1hop,489,0.39059304703476483,0.4070600837472003,0.4070600837472003,489,0,864,441,0.5104166666666666,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,FS,2hop,531,0.3954802259887006,0.4189362008571048,0.4189362008571048,531,0,922,477,0.517353579175705,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,NL,1hop,489,0.5501022494887525,0.6029968838251047,0.6888864543772519,489,42,819,147,0.1794871794871795,0
Gemini 2.5 Flash-Lite,OWL2Bench,OEQA,NL,2hop,531,0.11299435028248588,0.17347313703245906,0.33842396356520654,531,20,849,672,0.7915194346289752,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,AR,1hop,330,0.7363636363636363,0.7363636363636363,0.7378787878787879,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,AR,2hop,330,0.6727272727272727,0.6727272727272727,0.6727272727272727,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,FS,1hop,330,0.693939393939394,0.693939393939394,0.693939393939394,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,FS,2hop,330,0.6333333333333333,0.6333333333333333,0.6333333333333333,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,NL,1hop,330,0.6484848484848484,0.6484848484848484,0.6530303030303031,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,BQA,NL,2hop,330,0.5484848484848485,0.5484848484848485,0.5557575757575758,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,AR,1hop,165,0.5151515151515151,0.5151515151515151,0.6363636363636364,165,20,468,60,0.1282051282051282,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,AR,2hop,165,0.48484848484848486,0.5702227844811577,0.5823439966023698,165,2,726,155,0.21349862258953167,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,FS,1hop,165,0.5151515151515151,0.5151515151515151,0.5151515151515151,165,0,641,187,0.2917316692667707,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,FS,2hop,165,0.41818181818181815,0.5312963129636591,0.5312963129636591,165,0,563,119,0.2113676731793961,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,NL,1hop,165,0.3393939393939394,0.3520634920634921,0.546002886002886,165,32,416,136,0.3269230769230769,0
Gemini 2.5 Flash-Lite,Pizza100,OEQA,NL,2hop,165,0.0,0.07006600192456418,0.3233993352578975,165,17,524,491,0.9370229007633588,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,AR,1hop,412,0.7111650485436893,0.7111650485436893,0.7111650485436893,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,AR,2hop,412,0.6480582524271845,0.6480582524271845,0.6480582524271845,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,FS,1hop,412,0.6796116504854369,0.6796116504854369,0.6796116504854369,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,FS,2hop,412,0.6189320388349514,0.6189320388349514,0.6189320388349514,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,NL,1hop,412,0.6553398058252428,0.6553398058252428,0.6611650485436893,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,BQA,NL,2hop,412,0.5412621359223301,0.5412621359223301,0.5461165048543689,0,0,0,0,,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,AR,1hop,206,0.5533980582524272,0.5533980582524272,0.6504854368932039,206,20,727,72,0.09903713892709766,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,AR,2hop,206,0.36893203883495146,0.5075455827883012,0.5275024328422386,206,4,696,209,0.30028735632183906,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,FS,1hop,206,0.5436893203883495,0.5436893203883495,0.5436893203883495,206,0,861,233,0.2706155632984901,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,FS,2hop,206,0.4320388349514563,0.5636192017259979,0.5636192017259979,206,0,701,139,0.19828815977175462,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,NL,1hop,206,0.28640776699029125,0.30567054304918384,0.4998453003307372,206,40,624,305,0.48878205128205127,0
Gemini 2.5 Flash-Lite,Pizza250,OEQA,NL,2hop,206,0.0,0.10302257074101734,0.44574101734295907,206,22,608,556,0.9144736842105263,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,AR,1hop,1254,0.6762360446570973,0.6762360446570973,0.6729665071770334,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,AR,2hop,1254,0.6004784688995215,0.6004784688995215,0.5941786283891547,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,FS,1hop,1254,0.9744816586921851,0.9744816586921851,0.9744816586921851,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,FS,2hop,1254,0.868421052631579,0.868421052631579,0.868421052631579,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,NL,1hop,1254,0.7926634768740032,0.7926634768740032,0.7861244019138756,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,BQA,NL,2hop,1254,0.6650717703349283,0.6650717703349283,0.6608054226475278,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,AR,1hop,627,0.19138755980861244,0.31207645800947237,0.4245963942136191,627,14,1461,1013,0.6933607118412046,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,AR,2hop,627,0.03508771929824561,0.09030534579893537,0.2123946599935127,627,0,9942,9791,0.9848119090726212,41
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,FS,1hop,627,0.7240829346092504,0.7615250246829194,0.7615250246829194,627,0,1097,218,0.19872379216043756,0
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,FS,2hop,627,0.5614035087719298,0.6427250934427968,0.6454364172067522,627,0,1280,563,0.43984375,1
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,NL,1hop,627,0.19936204146730463,0.3379644486956356,0.39825153003534847,627,0,2484,2031,0.8176328502415459,2
Qwen3-30B-A3B-Instruct,FamilyOWL,OEQA,NL,2hop,627,0.049441786283891544,0.14278182874074516,0.18496683671522685,627,0,3503,3281,0.9366257493576934,5
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,AR,1hop,978,0.6983640081799591,0.6983640081799591,0.6976993865030675,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,AR,2hop,1062,0.5310734463276836,0.5310734463276836,0.5315913370998117,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,FS,1hop,978,0.8742331288343558,0.8742331288343558,0.8742331288343558,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,FS,2hop,1062,0.8436911487758946,0.8436911487758946,0.8436911487758946,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,NL,1hop,978,0.810838445807771,0.810838445807771,0.8107361963190184,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,BQA,NL,2hop,1062,0.6854990583804144,0.6854990583804144,0.684557438794727,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,AR,1hop,489,0.5173824130879345,0.5824277404032004,0.5883582107508488,489,0,1586,922,0.5813366960907944,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,AR,2hop,531,0.09981167608286252,0.1975634045387252,0.2155399343704,531,0,2128,1854,0.8712406015037594,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,FS,1hop,489,0.6625766871165644,0.7027915733437206,0.7028938228324731,489,0,956,240,0.2510460251046025,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,FS,2hop,531,0.5555555555555556,0.6211997237128739,0.6218588574228551,531,0,1054,354,0.33586337760910817,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,NL,1hop,489,0.4049079754601227,0.498007094019364,0.5112313612313613,489,1,1392,737,0.5294540229885057,0
Qwen3-30B-A3B-Instruct,OWL2Bench,OEQA,NL,2hop,531,0.07532956685499058,0.16518801932434563,0.1855270023751931,531,0,4287,4055,0.9458829017961278,8
Qwen3-30B-A3B-Instruct,Pizza100,BQA,AR,1hop,330,0.7181818181818181,0.7181818181818181,0.7193939393939394,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza100,BQA,AR,2hop,330,0.5878787878787879,0.5878787878787879,0.5850000000000001,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza100,BQA,FS,1hop,330,0.7303030303030303,0.7303030303030303,0.7303030303030303,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza100,BQA,FS,2hop,330,0.6545454545454545,0.6545454545454545,0.6546969696969698,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza100,BQA,NL,1hop,330,0.8484848484848485,0.8484848484848485,0.8475757575757575,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza100,BQA,NL,2hop,330,0.6606060606060606,0.6606060606060606,0.6598484848484848,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza100,OEQA,AR,1hop,165,0.6363636363636364,0.6363636363636364,0.6436363636363637,165,0,664,142,0.21385542168674698,0
Qwen3-30B-A3B-Instruct,Pizza100,OEQA,AR,2hop,165,0.4666666666666667,0.5181261541876926,0.5402473663089048,165,0,814,377,0.4631449631449631,1
Qwen3-30B-A3B-Instruct,Pizza100,OEQA,FS,1hop,165,0.6121212121212121,0.6121212121212121,0.6121212121212121,165,0,642,136,0.2118380062305296,0
Qwen3-30B-A3B-Instruct,Pizza100,OEQA,FS,2hop,165,0.41818181818181815,0.5331870148543609,0.5334900451573912,165,0,571,124,0.2171628721541156,0
Qwen3-30B-A3B-Instruct,Pizza100,OEQA,NL,1hop,165,0.012121212121212121,0.013636363636363636,0.025454545454545462,165,0,671,652,0.9716840536512668,0
Qwen3-30B-A3B-Instruct,Pizza100,OEQA,NL,2hop,165,0.0,0.006993901611084544,0.11850905312623605,165,0,634,589,0.9290220820189274,0
Qwen3-30B-A3B-Instruct,Pizza250,BQA,AR,1hop,412,0.7257281553398058,0.7257281553398058,0.7257281553398058,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza250,BQA,AR,2hop,412,0.616504854368932,0.616504854368932,0.6134708737864077,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza250,BQA,FS,1hop,412,0.7669902912621359,0.7669902912621359,0.7669902912621359,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza250,BQA,FS,2hop,412,0.6480582524271845,0.6480582524271845,0.6480582524271845,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza250,BQA,NL,1hop,412,0.837378640776699,0.837378640776699,0.8364077669902913,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza250,BQA,NL,2hop,412,0.6092233009708737,0.6092233009708737,0.6086165048543689,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,Pizza250,OEQA,AR,1hop,206,0.6504854368932039,0.6504854368932039,0.6543689320388351,206,0,926,144,0.15550755939524838,0
Qwen3-30B-A3B-Instruct,Pizza250,OEQA,AR,2hop,206,0.3786407766990291,0.47901247498021693,0.5436102558401337,206,0,728,218,0.29945054945054944,0
Qwen3-30B-A3B-Instruct,Pizza250,OEQA,FS,1hop,206,0.6456310679611651,0.6456310679611651,0.6456310679611651,206,0,862,148,0.1716937354988399,0
Qwen3-30B-A3B-Instruct,Pizza250,OEQA,FS,2hop,206,0.4320388349514563,0.5594621667437202,0.5601903220835259,206,0,701,141,0.20114122681883023,0
Qwen3-30B-A3B-Instruct,Pizza250,OEQA,NL,1hop,206,0.0048543689320388345,0.013634178031039315,0.028682721720359707,206,0,945,921,0.9746031746031746,0
Qwen3-30B-A3B-Instruct,Pizza250,OEQA,NL,2hop,206,0.0,0.013592233009708738,0.1963592233009709,206,0,831,822,0.9891696750902527,0
