tag,task,model,n,answer_exact_match,answer_f1,confidence_correctness_alignment,oeqa_n,oeqa_empty_predictions,oeqa_generated_answers,oeqa_unsupported_answers,oeqa_hallucination_rate,malformed_accepted
S,BQA,Qwen3-30B-A3B-Instruct,120,0.775,0.775,0.7779166666666666,0,0,0,0,,0
S,OEQA,GPT-5 mini,48,0.75,0.8368055555555555,0.8815972222222223,48,5,60,7,0.11666666666666667,0
S,OEQA,Gemini 2.5 Flash-Lite,48,0.3958333333333333,0.4930555555555556,0.5368055555555555,48,1,53,25,0.4716981132075472,0
S,OEQA,Qwen3-30B-A3B-Instruct,48,0.5416666666666666,0.7361111111111112,0.7381944444444444,48,0,81,30,0.37037037037037035,0
N,ALL,GPT-5 mini,519,0.2254335260115607,0.2552344251766217,0.4663262684649968,285,160,252,214,0.8492063492063492,0
N,ALL,Gemini 2.5 Flash-Lite,519,0.2524084778420039,0.2524084778420039,0.29383429672447015,285,3,380,380,1.0,0
N,ALL,Qwen3-30B-A3B-Instruct,519,0.29672447013487474,0.2968015414258189,0.3058574181117534,285,0,1628,1627,0.9993857493857494,2
N,BQA,GPT-5 mini,234,0.5,0.5,0.5244017094017094,0,0,0,0,,0
N,BQA,Gemini 2.5 Flash-Lite,234,0.5598290598290598,0.5598290598290598,0.5363247863247863,0,0,0,0,,0
N,BQA,Qwen3-30B-A3B-Instruct,234,0.6581196581196581,0.6581196581196581,0.655982905982906,0,0,0,0,,0
N,OEQA,GPT-5 mini,285,0.0,0.05426900584795322,0.41864327485380115,285,160,252,214,0.8492063492063492,0
N,OEQA,Gemini 2.5 Flash-Lite,285,0.0,0.0,0.09473684210526316,285,3,380,380,1.0,0
N,OEQA,Qwen3-30B-A3B-Instruct,285,0.0,0.00014035087719298245,0.01838596491228071,285,0,1628,1627,0.9993857493857494,2
I,ALL,GPT-5 mini,7230,0.5828492392807746,0.6081872737729168,0.6710499614130853,2532,910,3160,1121,0.354746835443038,1
I,ALL,Gemini 2.5 Flash-Lite,7230,0.5058091286307054,0.5379728332287921,0.5917864185983941,2532,256,6776,5064,0.7473435655253837,1
I,ALL,Qwen3-30B-A3B-Instruct,7230,0.5650069156293223,0.602104124501423,0.6130100719426402,2532,4,12058,10014,0.8304859844086914,27
I,BQA,GPT-5 mini,4698,0.7241379310344828,0.7241379310344828,0.7254086845466156,0,0,0,0,,1
I,BQA,Gemini 2.5 Flash-Lite,4698,0.6679438058748404,0.6679438058748404,0.6788207747977862,0,0,0,0,,0
I,BQA,Qwen3-30B-A3B-Instruct,4698,0.7349936143039592,0.7349936143039592,0.7325776926351639,0,0,0,0,,0
I,OEQA,GPT-5 mini,2532,0.320695102685624,0.3930465992804851,0.5701900556937624,2532,910,3160,1121,0.354746835443038,0
I,OEQA,Gemini 2.5 Flash-Lite,2532,0.20497630331753555,0.2968181612338733,0.4302985017639769,2532,256,6776,5064,0.7473435655253837,1
I,OEQA,Qwen3-30B-A3B-Instruct,2532,0.24960505529225907,0.3555342891569072,0.3911583017951379,2532,4,12058,10014,0.8304859844086914,27
R,ALL,GPT-5 mini,6294,0.4196059739434382,0.4437290995203293,0.49715140647933787,2286,486,2767,2421,0.8749548247199133,2
R,ALL,Gemini 2.5 Flash-Lite,6294,0.39053066412456305,0.40760638753965733,0.4372007101749714,2286,46,3241,3026,0.933662449861154,0
R,ALL,Qwen3-30B-A3B-Instruct,6294,0.4018112488083889,0.40732674009604425,0.4334415584415584,2286,14,10519,10441,0.9925848464682955,29
R,BQA,GPT-5 mini,4008,0.6531936127744511,0.6531936127744511,0.6489196606786427,0,0,0,0,,1
R,BQA,Gemini 2.5 Flash-Lite,4008,0.6065369261477046,0.6065369261477046,0.6133607784431138,0,0,0,0,,0
R,BQA,Qwen3-30B-A3B-Instruct,4008,0.6304890219560878,0.6304890219560878,0.6292415169660679,0,0,0,0,,0
R,OEQA,GPT-5 mini,2286,0.010061242344706912,0.07647898179394241,0.23105903428738073,2286,486,2767,2421,0.8749548247199133,1
R,OEQA,Gemini 2.5 Flash-Lite,2286,0.011811023622047244,0.05882528572817287,0.12834263772583981,2286,46,3241,3026,0.933662449861154,0
R,OEQA,Qwen3-30B-A3B-Instruct,2286,0.0008748906386701663,0.01606058712357925,0.09014924270829783,2286,14,10519,10441,0.9925848464682955,29
M,ALL,GPT-5 mini,4590,0.3753812636165577,0.404247847287063,0.47023695404087557,1854,447,2196,1897,0.8638433515482696,2
M,ALL,Gemini 2.5 Flash-Lite,4590,0.34727668845315907,0.3699654182660719,0.4052813224055054,1854,40,2731,2545,0.931893079458074,0
M,ALL,Qwen3-30B-A3B-Instruct,4590,0.3483660130718954,0.3530926916221034,0.38521687462863935,1854,12,8661,8606,0.9936496940307123,24
M,BQA,GPT-5 mini,2736,0.6279239766081871,0.6279239766081871,0.6218347953216374,0,0,0,0,,1
M,BQA,Gemini 2.5 Flash-Lite,2736,0.5815058479532164,0.5815058479532164,0.5898574561403508,0,0,0,0,,0
M,BQA,Qwen3-30B-A3B-Instruct,2736,0.5844298245614035,0.5844298245614035,0.5828033625730994,0,0,0,0,,0
M,OEQA,GPT-5 mini,1854,0.002696871628910464,0.07416268557045257,0.2465197513741203,1854,447,2196,1897,0.8638433515482696,1
M,OEQA,Gemini 2.5 Flash-Lite,1854,0.0016181229773462784,0.05778925018407219,0.1328971250492286,1854,40,2731,2545,0.931893079458074,0
M,OEQA,Qwen3-30B-A3B-Instruct,1854,0.0,0.011701971167990585,0.0936329312542905,1854,12,8661,8606,0.9936496940307123,24
