semantic_key,dataset,hop,task_type,classification,nl_question_byte_identical,nl_context_byte_identical,fs_query_byte_identical,fs_context_byte_identical,gold_answer_byte_identical
sem-v1.1-0a94cba09ea2e93760de8ec9949e1f6b87aea68155ed3839f579234b1da1864d,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-0a966ee0cedfbf27686a82c2d232b647795ebef7f9722280fa70ed0281b6b3ad,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0a98d2956a905f977e538d8a0a9a85c9007cc3bc7a8376b39e2a864728046aee,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-0ab02eb6327317b03a0ba45b2a7d0c5e836a733b886de2db209537e024ae28e7,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0ac7338681c76d5d8efe5c4cf8e71a80e3bf722eb8e7ff34436434d5b9df6712,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0ae302e42bec1ab85e97cb9168e65c47987707b33b1a778a5557aef390cbad52,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0af2bb7d1df4c04bc6aa57b599167c507e50e2f184a673b014fe5a1f79aa4dfd,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0afd8eeb2a679206ad296adf0f9b50403cc5a2e61ad7bff3e17f2eb4370d3bbd,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0b429f7893b73de9025145921be2130eb37ca14737e2fe2da27f1fc64a101678,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-0b5b5fc3c7c0e54dc38473865b996d8c37a28259cd6b5200eb91e9f46bbd0306,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0b6d7cfa3612a42ad851aacdc2af484fa78ba9c72a54555032cfe2ac9d413313,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0b80b5a8183525a1edbc4a7c984995475b67f0a72ddb0b4206a9709aeb2b1b86,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0b813439aaab069457d8d394b932e236cf01b61894e92de61fdc02b4b9725886,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0b8db56fa419b164cd3db296ef45933f44fc5bf7d2ccc1f21b0de2343d1c895d,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0b91911bc022ec8e8109c34d015cbbe38da06941a783269e7e7edaf04e678759,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0bc4a259ed4a87c02d8e5ab313406e61b0c8261004be310f886a6d90a47ebd26,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0c129ea5c660a4db5b60fb33a6327100999566177eab51df5f9a045fd6b0c94a,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0c27e62b38fa291429b563b448f1754ff3616f9414a4c98151a85598815dd1c1,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0c3387d219809ff824265fe86b72af3aa90a77a295a79d744612218c25d68082,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0c594b12a21b7c087dee791d64f1cffb901424f538b54eeda0809ed75d818b67,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0c5c819c5ce5086516452d6ef50253626dc7ffcb4b28228af83bc34b0abb6ed8,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-0c68596e4d85dab0411a2ac26f1862f6ee92e93bec68a8c00a57c75aa9312adf,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-0c6cd30a3f5ba4bd32b9f1bc2368ee4024f91b25ebe677317a1ea9423869054d,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0ca904bf773f68cd296e3d62265b76243c30b658daebe8431c71a0f4a30c431c,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0cf83fe609f52d579b71b053bc78a7689f37a6d2d466e1ab1ec8d07d1079be5e,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0d1e5f6aa4407791369890b7fc5d49163c70de94f6700fdd188689a3d5098dc8,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0d4392f37693ee342738b9e49c3ae232cc4e425a55053d7f306501d01aaffb2d,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0d48a1f9682d34986474e98bd589b0c33805b0c4ee144bd16e3ac2c97608f599,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0d5f3eba568232545ac59384c7211536c47d6bdb961baa8ef236eba1046d94a5,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0d642e24e0286ff0c90ce610370707959f3e1ec11556c4d6417fb5c9c9d4bc22,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0d735c3a041914ef95a0b0fcf8152b37c6078571c3976b3efa9837fd93259b88,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-0d793e8830082817b0343d9423b3c45e49454a9ead1c1f3e018cfad0a51ad0f2,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0d820748321534cb9ebcc06db6d10371bbbe7ca483842fc29a1886b77abe2bb9,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0d98fc884b09219eaece4f0ba04776b3281829ed9b2ba1690226b0ce96c29ef0,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0da93f94801e9e286aa8957c1fabe02b6aa57123c78f9871c753ac9650c39b89,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0e2ca1413605bb13bd0b715a5412a04ff65f9dcf4583e55b25e2dbc99045e498,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0e57c843e430fe50fe0a82b9d804ab6f936ba48f6e353a04248869393c9358c9,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0e636b3e6b51b3fdddcce91698dc9e4b8ef71195224b852c859bc11125dd8f48,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0e6512c86a0ddf27fe94908804c0837c066bdee1aa0295ebc0f044da5712a841,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-0e6d6fd8a3ab7f510d08030f4e51efd0741620ae71fcff011437b26848b07380,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0e7780d0522217cd04d764636ddfe964e8bb0426daba3391f7bbd227f92f3e47,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0eb5a7385254ba305df030cc214de827243b87c087178992f2aae76650134ce5,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0ec963eee9d9cd959a98bc069b1df8f51ffa4f6e4545c9b7d0dc5e135e72c757,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0ed4b39efbd256d07a11739504efebbb5ac8daccee5e3c282dab553840275e30,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0f157427f4fd9fbc683199e05f302bbd40c32dbb63b80f97f403070dd28c240c,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-0f3f6d782be851af18e6e87f87e69bdc6290952671f8348fe9fdc65b3d764f09,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0f44512215ba45671b6a24a744f832f174e01cf89ff978f143bc8cb9234df9c4,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0f57727db53b77d045f3387d5f1241cf393cd8a44350414a7073171ce41a53ad,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-0f8f701e12985bdfe2e8847a820d59444de7daa5e649831c3eb8d7463c31bf52,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0f967fbf962b63638992d8d4a2a395e7f26c35dfc606a8eec692bee5470ba443,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0fa0a117bbdfe38112d37f6961e841276645502241dc778cec4457b31a2bae4e,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0fadf4b93444e9410205ad94f5ca462fb23d30235e59dcf6eef42b7c121fa06b,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0fcad55915511cf68e83d192a26685c83bf97f3c0bb240dd50d5a279968dac83,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-0ff9e3271820195326d1310c7cc882465bdd5b70d56422fd7f50475c4213265f,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-101388230b3810a816baf90d13ef4ec51d37b004a736f5757616f85cc27bd2ef,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-10167a0805a9ff83d00a05dff840684a3b180fe6bfbabf57a262c90725c6326e,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-101b8b2302f66e8f5f69c21c746a8ce4e64f0790267c3420e8707764663176ad,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-102e8a0ea9dbe3673e4356965dc3b67fa324c86715a69f40ff637f980bc1364b,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-10403b111baad39e25f6bd5755f2fdee480744494f49415028ee047ce8f4c46d,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-1048d4e1bb40e3a5b4c931c5ab82c0ba360a1054ab3d097333127bd6266311ea,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-104bfa991451228e6d77de32b1281315d697f88902abdc75d4bdf25c60586186,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-105d5f58f7899d4d1a5688c91fbe74534b26b95578177f925dcc62e294756f2a,Family,1hop,BQA,removed,False,False,False,False,False
