dataset,hop,task_type,sampling_group_key,raw_complexity,complexity_bin,abox_size,abox_bin,sampling_mode,selected
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alec_john_archer_1927"",""http://www.example.com/genealogy.owl#alec_john_archer_1927"",""http://www.example.com/genealogy.owl#isSiblingOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alec_john_archer_1927"",""http://www.example.com/genealogy.owl#alec_john_archer_1927"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alexander_ilych_brown_1988"",""http://www.example.com/genealogy.owl#alexander_ilych_brown_1988"",""http://www.example.com/genealogy.owl#isChildOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alexander_ilych_brown_1988"",""http://www.example.com/genealogy.owl#alexander_ilych_brown_1988"",""http://www.example.com/genealogy.owl#isDaughterOf""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alfred_hostler"",""http://www.example.com/genealogy.owl#alfred_hostler"",""http://www.example.com/genealogy.owl#isFatherOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alfred_hostler"",""http://www.example.com/genealogy.owl#alfred_hostler"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alfred_steward_1846"",""http://www.example.com/genealogy.owl#alfred_steward_1846"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alfred_steward_1846"",""http://www.example.com/genealogy.owl#alfred_steward_1846"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alfred_steward_1846"",""http://www.example.com/genealogy.owl#alfred_steward_1846"",""http://www.example.com/genealogy.owl#isBrotherOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alfred_steward_1846"",""http://www.example.com/genealogy.owl#alfred_steward_1846"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alice_harvey_1895"",""http://www.example.com/genealogy.owl#alice_harvey_1895"",""http://www.example.com/genealogy.owl#hasBrother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alice_harvey_1895"",""http://www.example.com/genealogy.owl#alice_harvey_1895"",""http://www.example.com/genealogy.owl#hasFather""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alice_harvey_1895"",""http://www.example.com/genealogy.owl#alice_harvey_1895"",""http://www.example.com/genealogy.owl#hasParent""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alice_harvey_1895"",""http://www.example.com/genealogy.owl#alice_harvey_1895"",""http://www.example.com/genealogy.owl#isChildOf""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alice_harvey_1895"",""http://www.example.com/genealogy.owl#alice_harvey_1895"",""http://www.example.com/genealogy.owl#isDaughterOf""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alice_harvey_1895"",""http://www.example.com/genealogy.owl#alice_harvey_1895"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alice_whitfield_1859"",""http://www.example.com/genealogy.owl#alice_whitfield_1859"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alice_whitfield_1859"",""http://www.example.com/genealogy.owl#alice_whitfield_1859"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alice_whitfield_1859"",""http://www.example.com/genealogy.owl#alice_whitfield_1859"",""http://www.example.com/genealogy.owl#isSisterOf""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alice_whitfield_1859"",""http://www.example.com/genealogy.owl#alice_whitfield_1859"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amanda_usher_1968"",""http://www.example.com/genealogy.owl#amanda_usher_1968"",""http://www.example.com/genealogy.owl#hasBrother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amanda_usher_1968"",""http://www.example.com/genealogy.owl#amanda_usher_1968"",""http://www.example.com/genealogy.owl#hasMother""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amanda_usher_1968"",""http://www.example.com/genealogy.owl#amanda_usher_1968"",""http://www.example.com/genealogy.owl#hasParent""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amanda_usher_1968"",""http://www.example.com/genealogy.owl#amanda_usher_1968"",""http://www.example.com/genealogy.owl#hasSon""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amanda_usher_1968"",""http://www.example.com/genealogy.owl#amanda_usher_1968"",""http://www.example.com/genealogy.owl#isMotherOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amanda_usher_1968"",""http://www.example.com/genealogy.owl#amanda_usher_1968"",""http://www.example.com/genealogy.owl#isSiblingOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amanda_usher_1968"",""http://www.example.com/genealogy.owl#amanda_usher_1968"",""http://www.example.com/genealogy.owl#isSisterOf""]",1,Low,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amanda_usher_1968"",""http://www.example.com/genealogy.owl#amanda_usher_1968"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amelia_jessop_1837"",""http://www.example.com/genealogy.owl#amelia_jessop_1837"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amelia_jessop_1837"",""http://www.example.com/genealogy.owl#amelia_jessop_1837"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amelia_jessop_1837"",""http://www.example.com/genealogy.owl#amelia_jessop_1837"",""http://www.example.com/genealogy.owl#isSisterOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_amelia_jessop_1837"",""http://www.example.com/genealogy.owl#amelia_jessop_1837"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_andrew_usher_1965"",""http://www.example.com/genealogy.owl#andrew_usher_1965"",""http://www.example.com/genealogy.owl#hasMother""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_andrew_usher_1965"",""http://www.example.com/genealogy.owl#andrew_usher_1965"",""http://www.example.com/genealogy.owl#hasParent""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_andrew_usher_1965"",""http://www.example.com/genealogy.owl#andrew_usher_1965"",""http://www.example.com/genealogy.owl#hasSister""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_andrew_usher_1965"",""http://www.example.com/genealogy.owl#andrew_usher_1965"",""http://www.example.com/genealogy.owl#hasSon""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_andrew_usher_1965"",""http://www.example.com/genealogy.owl#andrew_usher_1965"",""http://www.example.com/genealogy.owl#isBrotherOf""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_andrew_usher_1965"",""http://www.example.com/genealogy.owl#andrew_usher_1965"",""http://www.example.com/genealogy.owl#isSiblingOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_andrew_usher_1965"",""http://www.example.com/genealogy.owl#andrew_usher_1965"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_green_1806"",""http://www.example.com/genealogy.owl#ann_green_1806"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_green_1806"",""http://www.example.com/genealogy.owl#ann_green_1806"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_green_1806"",""http://www.example.com/genealogy.owl#ann_green_1806"",""http://www.example.com/genealogy.owl#isSisterOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_green_1806"",""http://www.example.com/genealogy.owl#ann_green_1806"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_hollinsworth_1808"",""http://www.example.com/genealogy.owl#ann_hollinsworth_1808"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_hollinsworth_1808"",""http://www.example.com/genealogy.owl#ann_hollinsworth_1808"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_hollinsworth_1808"",""http://www.example.com/genealogy.owl#ann_hollinsworth_1808"",""http://www.example.com/genealogy.owl#isSisterOf""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_hollinsworth_1808"",""http://www.example.com/genealogy.owl#ann_hollinsworth_1808"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_jacobs_1832"",""http://www.example.com/genealogy.owl#ann_jacobs_1832"",""http://www.example.com/genealogy.owl#hasSister""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_jacobs_1832"",""http://www.example.com/genealogy.owl#ann_jacobs_1832"",""http://www.example.com/genealogy.owl#isSiblingOf""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_jacobs_1832"",""http://www.example.com/genealogy.owl#ann_jacobs_1832"",""http://www.example.com/genealogy.owl#isSisterOf""]",1,Low,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_jacobs_1832"",""http://www.example.com/genealogy.owl#ann_jacobs_1832"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_james"",""http://www.example.com/genealogy.owl#ann_james"",""http://www.example.com/genealogy.owl#isFemalePartnerIn""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_james"",""http://www.example.com/genealogy.owl#ann_james"",""http://www.example.com/genealogy.owl#isMotherOf""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_james"",""http://www.example.com/genealogy.owl#ann_james"",""http://www.example.com/genealogy.owl#isParentOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_james"",""http://www.example.com/genealogy.owl#ann_james"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_jessop_1833"",""http://www.example.com/genealogy.owl#ann_jessop_1833"",""http://www.example.com/genealogy.owl#hasBrother""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_jessop_1833"",""http://www.example.com/genealogy.owl#ann_jessop_1833"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_jessop_1833"",""http://www.example.com/genealogy.owl#ann_jessop_1833"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_jessop_1833"",""http://www.example.com/genealogy.owl#ann_jessop_1833"",""http://www.example.com/genealogy.owl#hasSister""]",1,Low,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_jessop_1833"",""http://www.example.com/genealogy.owl#ann_jessop_1833"",""http://www.example.com/genealogy.owl#isSisterOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_jessop_1833"",""http://www.example.com/genealogy.owl#ann_jessop_1833"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_lodge_1763"",""http://www.example.com/genealogy.owl#ann_lodge_1763"",""http://www.example.com/genealogy.owl#isFemalePartnerIn""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_lodge_1763"",""http://www.example.com/genealogy.owl#ann_lodge_1763"",""http://www.example.com/genealogy.owl#isMotherOf""]",1,Low,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_lodge_1763"",""http://www.example.com/genealogy.owl#ann_lodge_1763"",""http://www.example.com/genealogy.owl#isParentOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_lodge_1763"",""http://www.example.com/genealogy.owl#ann_lodge_1763"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_norton_1799"",""http://www.example.com/genealogy.owl#ann_norton_1799"",""http://www.example.com/genealogy.owl#isFemalePartnerIn""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_norton_1799"",""http://www.example.com/genealogy.owl#ann_norton_1799"",""http://www.example.com/genealogy.owl#isMotherOf""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_norton_1799"",""http://www.example.com/genealogy.owl#ann_norton_1799"",""http://www.example.com/genealogy.owl#isParentOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_norton_1799"",""http://www.example.com/genealogy.owl#ann_norton_1799"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_pickard_1809"",""http://www.example.com/genealogy.owl#ann_pickard_1809"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_pickard_1809"",""http://www.example.com/genealogy.owl#ann_pickard_1809"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_pickard_1809"",""http://www.example.com/genealogy.owl#ann_pickard_1809"",""http://www.example.com/genealogy.owl#isSisterOf""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ann_pickard_1809"",""http://www.example.com/genealogy.owl#ann_pickard_1809"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_anne_archer_1964"",""http://www.example.com/genealogy.owl#anne_archer_1964"",""http://www.example.com/genealogy.owl#hasFather""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_anne_archer_1964"",""http://www.example.com/genealogy.owl#anne_archer_1964"",""http://www.example.com/genealogy.owl#hasParent""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_anne_archer_1964"",""http://www.example.com/genealogy.owl#anne_archer_1964"",""http://www.example.com/genealogy.owl#hasSister""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_anne_archer_1964"",""http://www.example.com/genealogy.owl#anne_archer_1964"",""http://www.example.com/genealogy.owl#isSisterOf""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_anne_archer_1964"",""http://www.example.com/genealogy.owl#anne_archer_1964"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_anne_lockey_1829"",""http://www.example.com/genealogy.owl#anne_lockey_1829"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_anne_lockey_1829"",""http://www.example.com/genealogy.owl#anne_lockey_1829"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_anne_lockey_1829"",""http://www.example.com/genealogy.owl#anne_lockey_1829"",""http://www.example.com/genealogy.owl#isSisterOf""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_anne_lockey_1829"",""http://www.example.com/genealogy.owl#anne_lockey_1829"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_annie_whitfield"",""http://www.example.com/genealogy.owl#annie_whitfield"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_annie_whitfield"",""http://www.example.com/genealogy.owl#annie_whitfield"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_annie_whitfield"",""http://www.example.com/genealogy.owl#annie_whitfield"",""http://www.example.com/genealogy.owl#isSisterOf""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_annie_whitfield"",""http://www.example.com/genealogy.owl#annie_whitfield"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_arthur_steward_1861"",""http://www.example.com/genealogy.owl#arthur_steward_1861"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_arthur_steward_1861"",""http://www.example.com/genealogy.owl#arthur_steward_1861"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_arthur_steward_1861"",""http://www.example.com/genealogy.owl#arthur_steward_1861"",""http://www.example.com/genealogy.owl#isBrotherOf""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_arthur_steward_1861"",""http://www.example.com/genealogy.owl#arthur_steward_1861"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_arthur_tuton"",""http://www.example.com/genealogy.owl#arthur_tuton"",""http://www.example.com/genealogy.owl#isFatherOf""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_arthur_tuton"",""http://www.example.com/genealogy.owl#arthur_tuton"",""http://www.example.com/genealogy.owl#isMalePartnerIn""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_arthur_tuton"",""http://www.example.com/genealogy.owl#arthur_tuton"",""http://www.example.com/genealogy.owl#isParentOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_arthur_tuton"",""http://www.example.com/genealogy.owl#arthur_tuton"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_avril_bright_1990"",""http://www.example.com/genealogy.owl#avril_bright_1990"",""http://www.example.com/genealogy.owl#hasBrother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_avril_bright_1990"",""http://www.example.com/genealogy.owl#avril_bright_1990"",""http://www.example.com/genealogy.owl#hasFather""]",1,Low,508,0,normal-stratified,False
