input_hash,representation,classification,classification_label,rationale,row_count,task_ids,datasets,hops,task_groups,semantic_keys,formal_queries,gold_answer,aggregate_weighting_effect
04965d2f2d3c857c1bf2bb5d960bebe06a2af5086f1e5f06ce2657418bce4ea9,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,4,4419;4423;5542;5546,Pizza100;Pizza250,2hop,BQA,sem-v1.1-42901334094760f09af4cc86cec8b06078db18a79ae5487f8f47351c44e3a922;sem-v1.1-32bd51c5f045a2bc86fea5ea37fe387e8705ef0b56cb4455a078c9599d732e8d;sem-v1.1-f9d5c403fab2e5aa29731276ae5a7494f15182d1b95503adef8c5da2ceb574d7;sem-v1.1-4fa941ec8796551345cd888f90250f4334a2de47b5dbb4d850017c01334d4cc8,"[""ASK WHERE { <http://www.example.com/genealogy.owl#LaReine_75> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#LaReine_86> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#LaReine_123> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#LaReine_231> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }""]",TRUE,counts the identical evaluated input 4 times in per-row aggregate evaluation
04ca9c636388b9bbd282d41cc830e33ba69b94334099b4c1c41fab092ae409b3,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,7,3830;3832;3834;3838;4844;4846;4852,Pizza100;Pizza250,1hop,BQA,sem-v1.1-ff1d20cce439fe1a9249bb9d2dd8bd8d95517d9605589793aa55ad07dff13c1d;sem-v1.1-e50dd820af891ce56f1746473316be3cb5a965fa8ad968301aac5f801dbb4f63;sem-v1.1-47d31e8d5afb405131bce2c9df8ed6461f2c0420b79424b23374426d895c1108;sem-v1.1-9f48d17c86b5f99ff6a0932cae7de8ed73a2d22441b2ca4314c9066a3adae0cd;sem-v1.1-a262899c95cf2ccb86dd1a0e53d53cd6877339cd8221480cefdc858815030a93;sem-v1.1-8610cdbf9342410a43580fe999a4b5a174af1c8a0d19e2b4387829b53b97af9b;sem-v1.1-8a1a2b646f2890c6ecbf6c22ebfe29222dbf55d44548ed8bd662a15ee9713dbe,"[""ASK WHERE { <http://www.example.com/genealogy.owl#Capricciosa_0> <http://www.example.com/genealogy.owl#hasIngredient> <http://www.example.com/genealogy.owl#Capricciosa_0> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Capricciosa_22> <http://www.example.com/genealogy.owl#hasIngredient> <http://www.example.com/genealogy.owl#Capricciosa_22> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Capricciosa_27> <http://www.example.com/genealogy.owl#hasIngredient> <http://www.example.com/genealogy.owl#Capricciosa_27> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Capricciosa_32> <http://www.example.com/genealogy.owl#hasIngredient> <http://www.example.com/genealogy.owl#Capricciosa_32> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Capricciosa_125> <http://www.example.com/genealogy.owl#hasIngredient> <http://www.example.com/genealogy.owl#Capricciosa_125> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Capricciosa_202> <http://www.example.com/genealogy.owl#hasIngredient> <http://www.example.com/genealogy.owl#Capricciosa_202> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Capricciosa_57> <http://www.example.com/genealogy.owl#hasIngredient> <http://www.example.com/genealogy.owl#Capricciosa_57> }""]",FALSE,counts the identical evaluated input 7 times in per-row aggregate evaluation
04fb3306a72789239daead7314341ddd3170eafe27effe6fd11848e1d0c139cc,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,3,4819;4831;4837,Pizza250,1hop,BQA,sem-v1.1-22b6e62f3e5fe3a48ff70a1b023710ae1c1dac1fa408de4b27f42ef422bade1b;sem-v1.1-97890bd36369adecbd019aefb5e0529752fb81dbe7083ad7c2b1261d669b0316;sem-v1.1-e4eed783b4f5196807e0b52022968958d710f9629acf9eee7f11fbdc2def1743,"[""ASK WHERE { <http://www.example.com/genealogy.owl#Cajun_112> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Cajun_197> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Cajun_229> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }""]",FALSE,counts the identical evaluated input 3 times in per-row aggregate evaluation
05f7c70b2ca165c69919f2619cbf97b154c80089e66f22ae9b18777542666ca6,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,3,4382;4386;5519,Pizza100;Pizza250,2hop,BQA,sem-v1.1-dd0b56550f13fd4c86b0a1e067603fe6cadc098ff84f4d7551c04b3217210747;sem-v1.1-83a6069c1a9419bb5ba8be148749aa0b16988895736158038d5418a6eb74238f;sem-v1.1-29cfe9225bc45d8a554c54c1d3cf316bff0c771d1b30eff3268326cc5618f305,"[""ASK WHERE { <http://www.example.com/genealogy.owl#FruttiDiMare_13> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#AmericanHot_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#FruttiDiMare_36> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#AmericanHot_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#FruttiDiMare_214> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#AmericanHot_131> }""]",FALSE,counts the identical evaluated input 3 times in per-row aggregate evaluation
0721b370d721d4520917e078ad67e76adb14fb1436b33972b36aec0c40a4ed5b,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,3,4411;4421;5552,Pizza100;Pizza250,2hop,BQA,sem-v1.1-7ea900a408aa8a2a214f7fe8b166295ac5c3ecd9978f100a42b4ea895e06476a;sem-v1.1-a4ce9ef72570c836a12fef02566d5d45eb1c9dfd2f1c536e0c62234aabee37dc;sem-v1.1-a0163230eeea3b4236e2781ee244b46c56d0dde1be82ef86eed262e7cbd1fe66,"[""ASK WHERE { <http://www.example.com/genealogy.owl#LaReine_58> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#HamTopping_dynamic_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#LaReine_86> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#HamTopping_dynamic_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#LaReine_59> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#HamTopping_dynamic_1> }""]",TRUE,counts the identical evaluated input 3 times in per-row aggregate evaluation
082f830fb13e1a7d710a76a3cf3c6078752800e57260e9e4d30e1439975d229c,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,2,4420;5549,Pizza100;Pizza250,2hop,BQA,sem-v1.1-8e5d75ca2d9418e7bd6e712aa5dd4054cc1c8b90c83207d3810acfa6790c06d6;sem-v1.1-4abf212e15d593b47cd8198863efc7e7c923a22bfec30512f6b4556eff0347d1,"[""ASK WHERE { <http://www.example.com/genealogy.owl#LaReine_86> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#AmericanHot_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#LaReine_49> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#AmericanHot_131> }""]",FALSE,counts the identical evaluated input 2 times in per-row aggregate evaluation
09a9f66a249051b66a0c790829cd0773b875410eb4dcc0d32cbd54e4368f9cc2,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,5,4529;4533;5694;5698;5708,Pizza100;Pizza250,2hop,BQA,sem-v1.1-fa1563a8a33edc1dced68fcbdeb4721b0ad1f4592c74ca819f9a8f114b18de29;sem-v1.1-b2c169bcd867823ae27125dee5a263f04b3e4bcdbced830fb9e5da06aa168b72;sem-v1.1-39d1acc96e60626e439bf02d3df3147978902e73d81061339ee32a7e14731ca4;sem-v1.1-b83ce9e24e42a08d1127aa3d99c09feb62745b8c752978a32b51cc2ef89420e4;sem-v1.1-128c782795a159cf81df025fc8d373a5d2f2a6efdb530655cc5e60523a7cbb5d,"[""ASK WHERE { <http://www.example.com/genealogy.owl#Siciliana_47> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Siciliana_5> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Siciliana_154> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Siciliana_167> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Siciliana_52> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }""]",TRUE,counts the identical evaluated input 5 times in per-row aggregate evaluation
0ab8427f990f719e2e52b3c17ef4df3adee621099e3c0cabd145ed2a956eb6ee,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,3,4663;4669;5877,Pizza100;Pizza250,2hop,OEQA,sem-v1.1-6874ac7209074ebd466f29844df09a8fb0aa879e02af7789294f99297a3a4046;sem-v1.1-ed706405ffa0c32b2df6f768c00a8960d469e0f9a54f3071f2ad5b8e25a14ef4;sem-v1.1-7bc8cc73b077c9302c3d2f0c3d07c23197df7784d771822894eb9f11a6c44dcb,"[""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#Margherita_21> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#Margherita_40> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#Margherita_150> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }""]",DomainConcept; Food; Pizza,counts the identical evaluated input 3 times in per-row aggregate evaluation
0adea0ef0c52543e57895d9929856f10e3f9e8fb67740cec9a585ec8eb611b5a,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,7,4698;4701;4703;4704;4705;5932;5933,Pizza100;Pizza250,2hop,OEQA,sem-v1.1-6bb8ee395ffd97f2e616ab805af1f0671997b4aa1a377241ad060370bef1cda1;sem-v1.1-f74babb6edd88b54895a652b3c904281abdfb573f433423fca7a3535bb3c8b96;sem-v1.1-8763540ef7b69d63760229d6a23f9c79c6f91fdace3bb545681f05703e382979;sem-v1.1-d0a0b8a5b57ff4c8b3570d64fc2d7dea20414dc79439ba7582a4ce2f089ec95e;sem-v1.1-a286f139d287fc7bc841926d7232ecca085861c874b2df6baceb71f4b552a31a;sem-v1.1-8862366cea722def77d8650eced4297da4ec68829b07ab1b0a3a6a0e22e17c63;sem-v1.1-3995d3011c5bb10148422a3f2b2c3e7aab4e227abd67c762d626f9063dccd985,"[""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#PrinceCarlo_31> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#PrinceCarlo_32> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#PrinceCarlo_66> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#PrinceCarlo_74> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#PrinceCarlo_90> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#PrinceCarlo_85> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#PrinceCarlo_93> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }""]",DomainConcept; Food; Pizza,counts the identical evaluated input 7 times in per-row aggregate evaluation
0af2ee829f5d7f9e892346d9296b58672ea651e7b29f5f9b3ecffc1e183dc955,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,4,4455;5574;5586;5588,Pizza100;Pizza250,2hop,BQA,sem-v1.1-97efed709bcba02661d8078a68ede0399f05c791441e6eab63231546d7085f37;sem-v1.1-930ae8ae6f6b0f1dc0c94ed7a61733db99f2f3b2324b2ae28762d01a299824c4;sem-v1.1-58f0504b197f5a6d4b9592a1304ef65585bb03b2b006ca796b6f82bbddf9a041;sem-v1.1-76dd35ba14eaf4d60bccc792055c3fd3fdc2fef6fd16152df651a3d0823f32df,"[""ASK WHERE { <http://www.example.com/genealogy.owl#Mushroom_63> <http://www.example.com/genealogy.owl#hasIngredient> <http://www.example.com/genealogy.owl#MozzarellaTopping_dynamic_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Mushroom_152> <http://www.example.com/genealogy.owl#hasIngredient> <http://www.example.com/genealogy.owl#MozzarellaTopping_dynamic_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Mushroom_35> <http://www.example.com/genealogy.owl#hasIngredient> <http://www.example.com/genealogy.owl#MozzarellaTopping_dynamic_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Mushroom_5> <http://www.example.com/genealogy.owl#hasIngredient> <http://www.example.com/genealogy.owl#MozzarellaTopping_dynamic_1> }""]",TRUE,counts the identical evaluated input 4 times in per-row aggregate evaluation
0b0fa161ccbb188363f6695b8c3da11583dfb8b72926a0354329a7c89999c23f,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,6,3979;3983;3985;3987;5013;5027,Pizza100;Pizza250,1hop,BQA,sem-v1.1-a5d283fd7d2bf69466743e394cdfd97b00ee81d21ebd43b91aee5f5ca9f4a7e7;sem-v1.1-b81931075ca03b621562ee5302453d132ea5472dc3235b7c0004ebba2957eb42;sem-v1.1-a359605a5c74249faeebafbb468ff5ffa80e748b0d6dd206f8e0d962dda6b77c;sem-v1.1-e12c517b1d66a0364248ff79b7e2c0b7339ee6928ba0f53221cdbf43a73fc31e;sem-v1.1-44b4b5f7ebcf4b497328a54d55e5e8f1f08a6b63b1023a83c890be93aa497c51;sem-v1.1-f5a684b043a1868c4d2339ad5beb5045645426fb233f94920f392cf6753e7ec0,"[""ASK WHERE { <http://www.example.com/genealogy.owl#PolloAdAstra_30> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#CajunSpiceTopping_dynamic_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#PolloAdAstra_38> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#CajunSpiceTopping_dynamic_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#PolloAdAstra_81> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#CajunSpiceTopping_dynamic_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#PolloAdAstra_9> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#CajunSpiceTopping_dynamic_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#PolloAdAstra_11> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#CajunSpiceTopping_dynamic_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#PolloAdAstra_95> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#CajunSpiceTopping_dynamic_1> }""]",TRUE,counts the identical evaluated input 6 times in per-row aggregate evaluation
