task_id,representation,model,input_hash,source_path,source_file_sha256,source_legacy_task_id,source_response_column,response_sha256,parsed_answer,parsed_confidence,parse_status,provenance_status
13,FS,Gemini 2.5 Flash-Lite,3675a4727f1bbe7313f05ef9424891a5c60aaceb98bfe96cc36977e25c0c3200,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_ann_green_1806_ann_green_1806-ann_green_1806-hasFather-ada_rachel_heath_1868-NEG-BIN,openrouter_google_gemini_2_5_flash_lite_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
13,FS,Qwen3-30B-A3B-Instruct,3675a4727f1bbe7313f05ef9424891a5c60aaceb98bfe96cc36977e25c0c3200,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_ann_green_1806_ann_green_1806-ann_green_1806-hasFather-ada_rachel_heath_1868-NEG-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
16,NL,GPT-5 mini,c9aa8d89c08c9d4661987d38f9831c09f712d697350af3544b984cdc2f6b3b67,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/nl/LATEST_checkpoint.csv,5a1e64044a89dd8856abb08c353053748687f46fb51a4f6e1ada99f78665edc6,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-hasMother-mary_glover-BIN,openai_gpt_5_mini_2025_08_07_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
16,NL,Gemini 2.5 Flash-Lite,c9aa8d89c08c9d4661987d38f9831c09f712d697350af3544b984cdc2f6b3b67,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-hasMother-mary_glover-BIN,openrouter_google_gemini_2_5_flash_lite_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
16,NL,Qwen3-30B-A3B-Instruct,c9aa8d89c08c9d4661987d38f9831c09f712d697350af3544b984cdc2f6b3b67,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-hasMother-mary_glover-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,e023c3edd687a15afdd1c1f85f8ccae8d384514997b6f45401a92859d7ba0179,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
16,FS,GPT-5 mini,181e7dd5143f2f77132786c89697da7cee7b5558308417f28ab4742c18781282,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/sparql/LATEST_checkpoint.csv,f25b61dfe97e660e91976d7e820a774492e352796a3b8a66047d2e2cfb713f2f,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-hasMother-mary_glover-BIN,openai_gpt_5_mini_2025_08_07_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
16,FS,Gemini 2.5 Flash-Lite,181e7dd5143f2f77132786c89697da7cee7b5558308417f28ab4742c18781282,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-hasMother-mary_glover-BIN,openrouter_google_gemini_2_5_flash_lite_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
16,FS,Qwen3-30B-A3B-Instruct,181e7dd5143f2f77132786c89697da7cee7b5558308417f28ab4742c18781282,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-hasMother-mary_glover-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
18,NL,GPT-5 mini,9547fb56e9d637323820070e2c104bad6b370e36a3c28fe3f75021ee4c90b4b2,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/nl/LATEST_checkpoint.csv,5a1e64044a89dd8856abb08c353053748687f46fb51a4f6e1ada99f78665edc6,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-isSisterOf-james_hollinsworth_1804-BIN,openai_gpt_5_mini_2025_08_07_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
18,NL,Gemini 2.5 Flash-Lite,9547fb56e9d637323820070e2c104bad6b370e36a3c28fe3f75021ee4c90b4b2,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-isSisterOf-james_hollinsworth_1804-BIN,openrouter_google_gemini_2_5_flash_lite_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
18,NL,Qwen3-30B-A3B-Instruct,9547fb56e9d637323820070e2c104bad6b370e36a3c28fe3f75021ee4c90b4b2,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-isSisterOf-james_hollinsworth_1804-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,e023c3edd687a15afdd1c1f85f8ccae8d384514997b6f45401a92859d7ba0179,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
18,FS,GPT-5 mini,5e2e2cb4a3dbe9a5fed602eaca2654287150a1f110a9521ba96f97d3bd77a25d,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/sparql/LATEST_checkpoint.csv,f25b61dfe97e660e91976d7e820a774492e352796a3b8a66047d2e2cfb713f2f,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-isSisterOf-james_hollinsworth_1804-BIN,openai_gpt_5_mini_2025_08_07_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
18,FS,Gemini 2.5 Flash-Lite,5e2e2cb4a3dbe9a5fed602eaca2654287150a1f110a9521ba96f97d3bd77a25d,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-isSisterOf-james_hollinsworth_1804-BIN,openrouter_google_gemini_2_5_flash_lite_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
18,FS,Qwen3-30B-A3B-Instruct,5e2e2cb4a3dbe9a5fed602eaca2654287150a1f110a9521ba96f97d3bd77a25d,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_ann_hollinsworth_1808_ann_hollinsworth_1808-ann_hollinsworth_1808-isSisterOf-james_hollinsworth_1804-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
22,NL,GPT-5 mini,c173c1f0b3a779a69f09c176fdae697f33ec1bc6b7b3c0339bf760ae4a62627a,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/nl/LATEST_checkpoint.csv,5a1e64044a89dd8856abb08c353053748687f46fb51a4f6e1ada99f78665edc6,1hop-Thing_ann_jacobs_1832_ann_jacobs_1832-ann_jacobs_1832-isSisterOf-frank_jacobs_1846-BIN,openai_gpt_5_mini_2025_08_07_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
22,NL,Gemini 2.5 Flash-Lite,c173c1f0b3a779a69f09c176fdae697f33ec1bc6b7b3c0339bf760ae4a62627a,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_ann_jacobs_1832_ann_jacobs_1832-ann_jacobs_1832-isSisterOf-frank_jacobs_1846-BIN,openrouter_google_gemini_2_5_flash_lite_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
22,NL,Qwen3-30B-A3B-Instruct,c173c1f0b3a779a69f09c176fdae697f33ec1bc6b7b3c0339bf760ae4a62627a,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_ann_jacobs_1832_ann_jacobs_1832-ann_jacobs_1832-isSisterOf-frank_jacobs_1846-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,e023c3edd687a15afdd1c1f85f8ccae8d384514997b6f45401a92859d7ba0179,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
22,FS,GPT-5 mini,7913415c794abf1fa56c99bfb313b031f79fe5798f87778a4a7735eb5f52b10b,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/sparql/LATEST_checkpoint.csv,f25b61dfe97e660e91976d7e820a774492e352796a3b8a66047d2e2cfb713f2f,1hop-Thing_ann_jacobs_1832_ann_jacobs_1832-ann_jacobs_1832-isSisterOf-frank_jacobs_1846-BIN,openai_gpt_5_mini_2025_08_07_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
22,FS,Gemini 2.5 Flash-Lite,7913415c794abf1fa56c99bfb313b031f79fe5798f87778a4a7735eb5f52b10b,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_ann_jacobs_1832_ann_jacobs_1832-ann_jacobs_1832-isSisterOf-frank_jacobs_1846-BIN,openrouter_google_gemini_2_5_flash_lite_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
22,FS,Qwen3-30B-A3B-Instruct,7913415c794abf1fa56c99bfb313b031f79fe5798f87778a4a7735eb5f52b10b,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_ann_jacobs_1832_ann_jacobs_1832-ann_jacobs_1832-isSisterOf-frank_jacobs_1846-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,d7aff4dd871553de63a34c8c515fa17cc1cd400928c8f8ff09ee8d8f825d1477,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
33,NL,GPT-5 mini,dc73729aa0294c8c28f05671de6c2197cc570cf53bbd3d8dd33e2edca503e26b,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/nl/LATEST_checkpoint.csv,5a1e64044a89dd8856abb08c353053748687f46fb51a4f6e1ada99f78665edc6,1hop-Thing_anne_archer_1964_anne_archer_1964-anne_archer_1964-hasSister-ada_rachel_heath_1868-NEG-BIN,openai_gpt_5_mini_2025_08_07_response,3c7ee0cf300d458d023ea3cf5c3e35fe97d16ac3bb4802581e6304fd65c42a28,FALSE,0.9,requested_schema_conformant,exact model and exact evaluated input hash
33,NL,Gemini 2.5 Flash-Lite,dc73729aa0294c8c28f05671de6c2197cc570cf53bbd3d8dd33e2edca503e26b,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_anne_archer_1964_anne_archer_1964-anne_archer_1964-hasSister-ada_rachel_heath_1868-NEG-BIN,openrouter_google_gemini_2_5_flash_lite_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
33,NL,Qwen3-30B-A3B-Instruct,dc73729aa0294c8c28f05671de6c2197cc570cf53bbd3d8dd33e2edca503e26b,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_anne_archer_1964_anne_archer_1964-anne_archer_1964-hasSister-ada_rachel_heath_1868-NEG-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,3d8c33250ffc701277a46a858f5590e593ee3d7b33ae5d1d9d1c5328372c3407,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
33,FS,GPT-5 mini,0141ecadf9344aef32730fe4f36155962a4a80871da0e5d1d91d1f9d01265cf6,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/sparql/LATEST_checkpoint.csv,f25b61dfe97e660e91976d7e820a774492e352796a3b8a66047d2e2cfb713f2f,1hop-Thing_anne_archer_1964_anne_archer_1964-anne_archer_1964-hasSister-ada_rachel_heath_1868-NEG-BIN,openai_gpt_5_mini_2025_08_07_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
33,FS,Gemini 2.5 Flash-Lite,0141ecadf9344aef32730fe4f36155962a4a80871da0e5d1d91d1f9d01265cf6,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_anne_archer_1964_anne_archer_1964-anne_archer_1964-hasSister-ada_rachel_heath_1868-NEG-BIN,openrouter_google_gemini_2_5_flash_lite_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
33,FS,Qwen3-30B-A3B-Instruct,0141ecadf9344aef32730fe4f36155962a4a80871da0e5d1d91d1f9d01265cf6,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_anne_archer_1964_anne_archer_1964-anne_archer_1964-hasSister-ada_rachel_heath_1868-NEG-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
45,NL,GPT-5 mini,36339c105d3b70d6be91ae33c78b6c48964b2ba17a27add6d2e2e69b12d36180,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/nl/LATEST_checkpoint.csv,5a1e64044a89dd8856abb08c353053748687f46fb51a4f6e1ada99f78665edc6,1hop-Thing_arthur_steward_1861_arthur_steward_1861-arthur_steward_1861-rdf:type-Ancestor-NEG-BIN,openai_gpt_5_mini_2025_08_07_response,3c7ee0cf300d458d023ea3cf5c3e35fe97d16ac3bb4802581e6304fd65c42a28,FALSE,0.9,requested_schema_conformant,exact model and exact evaluated input hash
45,NL,Gemini 2.5 Flash-Lite,36339c105d3b70d6be91ae33c78b6c48964b2ba17a27add6d2e2e69b12d36180,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_arthur_steward_1861_arthur_steward_1861-arthur_steward_1861-rdf:type-Ancestor-NEG-BIN,openrouter_google_gemini_2_5_flash_lite_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
45,NL,Qwen3-30B-A3B-Instruct,36339c105d3b70d6be91ae33c78b6c48964b2ba17a27add6d2e2e69b12d36180,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_arthur_steward_1861_arthur_steward_1861-arthur_steward_1861-rdf:type-Ancestor-NEG-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,e023c3edd687a15afdd1c1f85f8ccae8d384514997b6f45401a92859d7ba0179,TRUE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
