input_equivalence_group_id,representation,input_hash,semantic_row_count,task_ids,semantic_keys,datasets,hops,canonical_gold,classification
ieq-fs-f54a9f456867495f1e8d7e8b,FS,f54a9f456867495f1e8d7e8bc55df741ee79b63a613e928cd597874cc9a247ee,2,4042;5108,sem-v1.1-c4300d35669336a1c0e05b5f2741a7fa091540d84c390431395a81db8c7a5f99;sem-v1.1-a3eaec914138895c6091d38981342185b147ee5092abe1a54a5873f631ecc6a7,Pizza100;Pizza250,1hop,FALSE,compatible exact evaluated-input equivalence
ieq-fs-fc9a0fed3e8c12cd1352a095,FS,fc9a0fed3e8c12cd1352a095b2b7ef52e1c4919ea11fb2b215a57da6390a9671,2,4041;5107,sem-v1.1-d12fc0c308e1110c9a1c7973cda787037116aa2d049626eecb1448821851170d;sem-v1.1-bbd63b655ad02aa12d4cf4a1513d09cb01f55725fc82e4b98a2f526e9214ff04,Pizza100;Pizza250,1hop,TRUE,compatible exact evaluated-input equivalence
ieq-nl-054a5f42d3891123f6bcb28c,NL,054a5f42d3891123f6bcb28c04c027b9a10f5b703896f4dba5cd88cf7fce387b,2,6966;8517,sem-v1.1-7840290e94abdf061009d348e5438f1c61c3a2a0fe5809d26e93f1ed7fc91679;sem-v1.1-c4b7be094d2698171e5df8ade1cd9eb4d86336c2dd31ab894bf96754673731a0,OWL2Bench,1hop;2hop,TRUE,compatible exact evaluated-input equivalence
ieq-nl-0ad8e511c81c0eff34444ad2,NL,0ad8e511c81c0eff34444ad2974426d282f21f5033e844612c954dc07f4bc7c1,2,4041;5107,sem-v1.1-d12fc0c308e1110c9a1c7973cda787037116aa2d049626eecb1448821851170d;sem-v1.1-bbd63b655ad02aa12d4cf4a1513d09cb01f55725fc82e4b98a2f526e9214ff04,Pizza100;Pizza250,1hop,TRUE,compatible exact evaluated-input equivalence
ieq-nl-272f0c610cff8327f9a6c8bc,NL,272f0c610cff8327f9a6c8bcd03524f87ecec17456ac12de0be850eb00959360,2,1157;1159,sem-v1.1-dbe198eec0022378174fb3329a64ee31e6894818789c682095815d58f662eb3a;sem-v1.1-c6cf1972ce7bf5ebb604b927e9435fcd34ec210b170126b4281848fd4befc7cb,FamilyOWL,1hop,FALSE,compatible exact evaluated-input equivalence
ieq-nl-2a41e195fcef244fa57c881b,NL,2a41e195fcef244fa57c881bd64db84d2cb4419ef55725608355098133562301,2,7030;8586,sem-v1.1-210e6ae51ad27c60ef322066470d629fbd227e7e6ca2c2af4ba539f9a8aa18f4;sem-v1.1-3d84435ecb7ee8a552cdd33134c75890ed0c2348c53180391902285d708c0070,OWL2Bench,1hop;2hop,Person,compatible exact evaluated-input equivalence
ieq-nl-2cb55922bc255d44d1defca7,NL,2cb55922bc255d44d1defca7f54af791dd46340a2d6b5d90a656ddb53984b4be,2,6114;7597,sem-v1.1-fcd1daea138ba20bd40c83f55cb9cd1ae0c8942270bf618d476ba88e76ba6901;sem-v1.1-b1c2ecbad94aad0e90f095a769977795d3ba77266d47776345a41831cecd4322,OWL2Bench,1hop;2hop,TRUE,compatible exact evaluated-input equivalence
ieq-nl-42b2b2609a9d997115859560,NL,42b2b2609a9d997115859560944bc8d361ea6015b7b71b6a830570841c852f90,2,6117;7600,sem-v1.1-6c357ba80332fa992da2993caad2f367df633174ee967665a1b7b9c32e5ec279;sem-v1.1-620f2c2edc2931e5cdce7795ec40ae4f8c8e714b7a367d3c370a838efe3cd455,OWL2Bench,1hop;2hop,FALSE,compatible exact evaluated-input equivalence
ieq-nl-597789f3e47ccb3570617183,NL,597789f3e47ccb357061718344102d6e0ad4dee6db3de98a5ac366fc40cb89eb,2,6965;8516,sem-v1.1-cac09abbcc1f5887b7b9571e7e5d9ca6446712e7f9c1773fe4fb733c4e54816f;sem-v1.1-d42debb2a406763f78e93bc463dec7a1c3d9e158dcb9cfa6857dfc7109fd1813,OWL2Bench,1hop;2hop,FALSE,compatible exact evaluated-input equivalence
ieq-nl-71206e8191268805acf24d3a,NL,71206e8191268805acf24d3aa60e80f1084fb09325863dbefd068e0a7a760d20,2,4146;5240,sem-v1.1-b1607318de8ee3325f9c0530b586d65ba07710af12ec44d9f4ff5debd0d50169;sem-v1.1-7397fc188ea6f4813ccbeed1f8d6155832fa00c5a18174f54180917d5875ffab,Pizza100;Pizza250,1hop,AnchoviesTopping_dynamic_1;CaperTopping_dynamic_1;MozzarellaTopping_dynamic_1;MushroomTopping_dynamic_1;OliveTopping_dynamic_1;PeperoniSausageTopping_dynamic_1;TomatoTopping_dynamic_1,compatible exact evaluated-input equivalence
ieq-nl-812f77f2f6c9b0e4755c312e,NL,812f77f2f6c9b0e4755c312ecf5305015e1714afacc71427aba663469d2f3897,2,3038;3040,sem-v1.1-0089ab0d8469d4e0abdba2ee08ebd00fc0cc2647e0088da2304572ec2797c151;sem-v1.1-e42d49c5de497e429fc183242802e76a0bcf7df3bb7d7a0e76c426b71b445b58,FamilyOWL,2hop,FALSE,compatible exact evaluated-input equivalence
ieq-nl-8c48c6d689e5dd7780a3655c,NL,8c48c6d689e5dd7780a3655c118970243beff5559a239be0128e8798b5b6fffb,2,6113;7596,sem-v1.1-4e53c3124432c59d4e93881cc0efbb2359f2e6c3920b2c987a22ed42d61e0a1e;sem-v1.1-1afce477af044813a96fe93db830c09926dc077baf641481915cf6087f44355b,OWL2Bench,1hop;2hop,FALSE,compatible exact evaluated-input equivalence
ieq-nl-aaf17ff55c2cdf4cf3adf716,NL,aaf17ff55c2cdf4cf3adf716eb6c86b4f38e61c12d51179097a4f0fd24b2a033,2,6118;7601,sem-v1.1-18f3d6f0657ff6dea029fe8fe630faac0d8960a8ff98a4393f3d83d4955892d6;sem-v1.1-38cb7e7d26589e7fc13291c73fd4287f9dbce51db7931415cb996728d7659cbc,OWL2Bench,1hop;2hop,TRUE,compatible exact evaluated-input equivalence
ieq-nl-c7c90b134670ecded9eb7ca6,NL,c7c90b134670ecded9eb7ca678246d8425824b84cdc89daab20f9259ea673191,2,4042;5108,sem-v1.1-c4300d35669336a1c0e05b5f2741a7fa091540d84c390431395a81db8c7a5f99;sem-v1.1-a3eaec914138895c6091d38981342185b147ee5092abe1a54a5873f631ecc6a7,Pizza100;Pizza250,1hop,FALSE,compatible exact evaluated-input equivalence
