task_id,representation,input_hash,gold_semantics
31,NL,b92bd00bd9f96b95ecd1d5a41070c3e3cc41952a899962917d1cf4a3bd6e11da,"{""answer"":""FALSE"",""task_group"":""BQA""}"
31,FS,3eb40ce0eae469a206f829ce17afe8e8ac82149def92b6f83b730e1d2f2c9c8c,"{""answer"":""FALSE"",""task_group"":""BQA""}"
31,AR,a6b9d7ba49825662565e24e4357b037a084b581d693993be798c5795432ef576,"{""answer"":""FALSE"",""task_group"":""BQA""}"
32,NL,19b912d7685860341721ae4eba161fba7d50642184d04dd74679cc8ba6e34d5c,"{""answer"":""TRUE"",""task_group"":""BQA""}"
32,FS,895c0956b21a0254705acc4be410b7bc6b6197351b0677521970227f48e43e7a,"{""answer"":""TRUE"",""task_group"":""BQA""}"
32,AR,90afce7dcc43e98f0c5449bf74a2e72969861846d1bfa9f3f88a150c10ebb9de,"{""answer"":""TRUE"",""task_group"":""BQA""}"
33,NL,c6744de65b385bc7622809c517e85fcf7b475089cc16e6e79e2f7be8cb7109d0,"{""answer"":""FALSE"",""task_group"":""BQA""}"
33,FS,0141ecadf9344aef32730fe4f36155962a4a80871da0e5d1d91d1f9d01265cf6,"{""answer"":""FALSE"",""task_group"":""BQA""}"
33,AR,2015a45eec42f6bb275a83305563ec2ea95ee4832ae580a147b62ad308c2ac8c,"{""answer"":""FALSE"",""task_group"":""BQA""}"
34,NL,52cf609d9c22376cfa80ede1c012f981c8a31b37220ff278f4eb4921b6e26972,"{""answer"":""TRUE"",""task_group"":""BQA""}"
34,FS,b704bea935d727652a8b3419e57f97e7aabc9e66573369984a0f0311395fabe6,"{""answer"":""TRUE"",""task_group"":""BQA""}"
34,AR,8eeae73c52d90813a6201098d6a364e8593010d091e9cc8c61f46dbb18beeb9c,"{""answer"":""TRUE"",""task_group"":""BQA""}"
35,NL,f66b1cdaab52e1ebaebf4e6a5c6e37f0ec98c0115bb0aae00b2f49f749e70ef9,"{""answer"":""FALSE"",""task_group"":""BQA""}"
35,FS,0d2b61616f34d21a75becf0340cc5fdf6a8c70803f59c8b924daacdb1176da8b,"{""answer"":""FALSE"",""task_group"":""BQA""}"
35,AR,6fbba0f3bb95a9f4b16d660480fd12deff198eb8181309baaf7c12f0de1e162f,"{""answer"":""FALSE"",""task_group"":""BQA""}"
36,NL,6cfd1b6115a37ce717deb9449c653e14b99a02f3f6d7ca5ab37a9ec5e0681516,"{""answer"":""TRUE"",""task_group"":""BQA""}"
36,FS,3b2346ed92298adea35f080710edd6e8a5bbfa25119c5225b3fd9d9b45b41840,"{""answer"":""TRUE"",""task_group"":""BQA""}"
36,AR,bfc6f0a745957b4b374ed8645b611fa95f3d1b3124010a70d8ed8abb33f14ec3,"{""answer"":""TRUE"",""task_group"":""BQA""}"
37,NL,4f45b01b1e8b1e4f8f30efcc46585ade175b2cb6c8662e402f5a633ed78df3ba,"{""answer"":""FALSE"",""task_group"":""BQA""}"
37,FS,80abab0c68ef71f7ae3b82e0000a70dcc322fd9bef4e02b045c4ed43fc03d8fa,"{""answer"":""FALSE"",""task_group"":""BQA""}"
37,AR,a8188469db27e335c2c65b5d0f6c4bd3f3bb553e7b0b7dfd4bb2e4776cbd8a18,"{""answer"":""FALSE"",""task_group"":""BQA""}"
38,NL,b9068934b89ff47660fd2a84ea3876bc2e53e2e56b827942051965bef6293ea7,"{""answer"":""TRUE"",""task_group"":""BQA""}"
38,FS,f8f9c379816d66f1dbdeb32bd9a67963a3205d7608e967e65975cfe6f30f761b,"{""answer"":""TRUE"",""task_group"":""BQA""}"
38,AR,ff7314d9cef400562a32cf44393577dec1a69d5385eccbc6536d1451187f3311,"{""answer"":""TRUE"",""task_group"":""BQA""}"
39,NL,ac3479e4fd095060d0cfe35dda4eef1049f0986b5c05f92b78712a2c2a70faad,"{""answer"":""FALSE"",""task_group"":""BQA""}"
39,FS,a6f1a911f13e350e5fb48cb1e88d4b17132c06999126bec5271ce4875baa1e92,"{""answer"":""FALSE"",""task_group"":""BQA""}"
39,AR,a1a4de1314b32dd3171243e0e47b058a5fd8642c04962affecf0802546c3d36f,"{""answer"":""FALSE"",""task_group"":""BQA""}"
40,NL,1b2dc65bf06dd3e742e3fec1f8ca774e46b4cadde8fdf76c63f690f24ca498ef,"{""answer"":""TRUE"",""task_group"":""BQA""}"
40,FS,f42a2a69955b28ca94eec7e95838f4b0265ac5cbebec0af7e638b20e97d181dc,"{""answer"":""TRUE"",""task_group"":""BQA""}"
40,AR,21b699a1e2b3cae5c1a62805cf2958c1405e7567d69b2a079d5e502a40609611,"{""answer"":""TRUE"",""task_group"":""BQA""}"
41,NL,6e9cc01d43527f2d331971db729feb2accddca3f5a91c9620ebc6cd7372ff4f6,"{""answer"":""FALSE"",""task_group"":""BQA""}"
41,FS,e04af20de8f977b384cc7d140855df592c2ae29d85f3bb00ca781884102f419d,"{""answer"":""FALSE"",""task_group"":""BQA""}"
41,AR,b5406eb40ec8dc1ccc0c8706d738da5d2fd59b1348c6bec278713529093def6c,"{""answer"":""FALSE"",""task_group"":""BQA""}"
42,NL,9c3c179098ce1f0c84d80a285e1e35a3bf3130c79e39cdfd8c847879ba9547d2,"{""answer"":""TRUE"",""task_group"":""BQA""}"
42,FS,6dd155adf25ddc02ae2030cac46c3c836bd7e542647c7e01be85a4806e279a44,"{""answer"":""TRUE"",""task_group"":""BQA""}"
42,AR,5c1bbfad2599c84b10030526a27b93495f136ca38f7844889d330ca2f832ae83,"{""answer"":""TRUE"",""task_group"":""BQA""}"
43,NL,b319d710ad8a714c7bc158e686fc00c9d9a3b360f3d08f30d6c4529a5fe8a0e6,"{""answer"":""FALSE"",""task_group"":""BQA""}"
43,FS,715ae4f7d3d5c242b23961986c4fe357682dc50df4174793de8d51944433a8dc,"{""answer"":""FALSE"",""task_group"":""BQA""}"
43,AR,4985b2b0a7c37f8acece57e099ffb7a20a0aadae44670f3a244a05156c970e05,"{""answer"":""FALSE"",""task_group"":""BQA""}"
44,NL,6170f673c61170b3348a594702daf504a0acf570e32a33e6398005b9807d3328,"{""answer"":""TRUE"",""task_group"":""BQA""}"
44,FS,4e833f29bc05f76bee7cbdf4972d40a7e8cf22ea2c6c0e99cb909f02c4502ac4,"{""answer"":""TRUE"",""task_group"":""BQA""}"
44,AR,5e0627ef9aa26bc187f032c5a741cfe9c65ac32b979427b56fa6a5242c71cbac,"{""answer"":""TRUE"",""task_group"":""BQA""}"
45,NL,4b7b72082bbe57c9ae406040a59be4550ffd723b23c1d0a05f21ff07e50c7d29,"{""answer"":""FALSE"",""task_group"":""BQA""}"
45,FS,f23d3f6d62aca6cbf71490ba50afacccf7916503a283f559f9c106b9e28a1d4a,"{""answer"":""FALSE"",""task_group"":""BQA""}"
45,AR,aea937236ff8b69c9214de6777acb28eb61032dba20c619f8ebbf9b0f4bf5d01,"{""answer"":""FALSE"",""task_group"":""BQA""}"
46,NL,fefec1cb0987975aa7ccfe19d53e3fd28edfd4128da54eea45921154fb6e7d77,"{""answer"":""TRUE"",""task_group"":""BQA""}"
46,FS,bf497db948678adb5f5bee0f3a491112d1caaeb4adb52743055c35adf8ecb3ba,"{""answer"":""TRUE"",""task_group"":""BQA""}"
46,AR,009f61ac9d8b717feda82c2e439fd45ecb9ca1990107d74492eafcdd97f15d97,"{""answer"":""TRUE"",""task_group"":""BQA""}"
47,NL,296dd08b91edc8ff0c5e66e607f434dfc9278e00f5e8ffd3b9d6abf35e123a7b,"{""answer"":""FALSE"",""task_group"":""BQA""}"
47,FS,19e0cd27dcd2632e1aae75be1968e783a6628b19fac14f8f197c0b7629f333d2,"{""answer"":""FALSE"",""task_group"":""BQA""}"
47,AR,03dca3826da02eb3b2532a4712d350192020038ca81b8506632984d10334c643,"{""answer"":""FALSE"",""task_group"":""BQA""}"
48,NL,d2dcedd9f969429f7039fbf694c553f5954143128782898ce7b198a25b326a1c,"{""answer"":""TRUE"",""task_group"":""BQA""}"
48,FS,b2ec9aed889d6ba06b2041837f07b4d90146cf0b30dc760a674bc0f0f2918a47,"{""answer"":""TRUE"",""task_group"":""BQA""}"
48,AR,f3254e9640ac2b8dec6f8be8f6cc6084537c070dbd436adcf7b1910e3e2c408f,"{""answer"":""TRUE"",""task_group"":""BQA""}"
49,NL,0b28ad69cf4af3dad055e523c6e17082ddaf68c6ad7e811aaefd6fc01b32f218,"{""answer"":""FALSE"",""task_group"":""BQA""}"
49,FS,101171dea933d336cfdeae5251ce78af5d5e28274346b0d8b5d1c15b5bc02b5b,"{""answer"":""FALSE"",""task_group"":""BQA""}"
49,AR,fe465eb8e29c9e810565a988d06aba67a882664a373eafe5ccb3d9ad13b15fe5,"{""answer"":""FALSE"",""task_group"":""BQA""}"
50,NL,d448ce85cf96f9ed19c5c839f3c2a921b2c4b7cf030f887ac63f4c01f4ea8c13,"{""answer"":""TRUE"",""task_group"":""BQA""}"
50,FS,bdaf19d006f6003447001533899b0c8e9d3a36a26c2cb26f1b8a1267a286ff87,"{""answer"":""TRUE"",""task_group"":""BQA""}"
50,AR,277b0eedf5edad83aa6892c595ebe6df329a98622adcf353bd7d8645a1117b6a,"{""answer"":""TRUE"",""task_group"":""BQA""}"
51,NL,53bb02f7d7191277684b66d985b1c08f9f5ea3f0a1efb4be58ae980fef9456c5,"{""answer"":""FALSE"",""task_group"":""BQA""}"
51,FS,b94ad6d8cd5e1bae33951a8ab88628d2fbcb232ebcfbdba7cfbbf210fa9ddb9d,"{""answer"":""FALSE"",""task_group"":""BQA""}"
51,AR,ffff873ad2aaeaa8b6f58c166478c7d90063c21f155f86b11b9cf7cdca74695a,"{""answer"":""FALSE"",""task_group"":""BQA""}"
52,NL,6b37fe502a523ca714973352d996fe1ea3cde9bd9c1025c659697f5098847e55,"{""answer"":""TRUE"",""task_group"":""BQA""}"
52,FS,579d2fec6b9e7980fd8f3ffabcacccf81bb8a6375e94ba273f820d8c064df014,"{""answer"":""TRUE"",""task_group"":""BQA""}"
52,AR,18b46f00176addb8eab6d7be62a796ac9ab7194fd52142b55bb6c1eebc6cdccb,"{""answer"":""TRUE"",""task_group"":""BQA""}"
53,NL,d3eaa58acfa351fe4aab4b555b5bf16f0de7f1f58a783a5ffcfd8d7fd9dfe77b,"{""answer"":""FALSE"",""task_group"":""BQA""}"
53,FS,ef2fb431d75fb19b12fa409d822b60d52723721b8f08b0a08effaa95bbf16cfa,"{""answer"":""FALSE"",""task_group"":""BQA""}"
53,AR,6037a416230df2ce039c757b28affc5972d509f85c8242c91e4e4f2dfdc68190,"{""answer"":""FALSE"",""task_group"":""BQA""}"
54,NL,6ce9bc349c4a984e7fdd88541bfde070fad134c169529b18f28833941337f6c4,"{""answer"":""TRUE"",""task_group"":""BQA""}"
54,FS,6e096d7fa83410b032d33746e21b319220738f6f6a91c332302a3f9f469f860e,"{""answer"":""TRUE"",""task_group"":""BQA""}"
54,AR,ea5ed2ee52a47e9c50275fbd5a331aa65f6358af083f7671f2f7b50a3722355f,"{""answer"":""TRUE"",""task_group"":""BQA""}"
55,NL,66275003aac43d9dbaedbf56b122d269c5cbca3442e550598676a429f9070083,"{""answer"":""FALSE"",""task_group"":""BQA""}"
55,FS,43dc0a4796ea90fd62ce95854bd927b8ba948c8557cee1f49ab03b4a6b55ece8,"{""answer"":""FALSE"",""task_group"":""BQA""}"
55,AR,bfe1fe2a9b6482d1d6abf7c10952269db6462a798dd480d093cfb7284e96501a,"{""answer"":""FALSE"",""task_group"":""BQA""}"
56,NL,e082f2f6a93a2a75d62e4eb4bca9ae89a6ac80ae6d32b6341a8cb9b84d5ee7dc,"{""answer"":""TRUE"",""task_group"":""BQA""}"
56,FS,c22351ca8d7c73ff63a6fe3d1ae016355ce06833ea5c53b93e945828ceea2c4f,"{""answer"":""TRUE"",""task_group"":""BQA""}"
56,AR,c7e7b276319be867a6079dff522f9021c6eaae648981f6477fe05537d715c56b,"{""answer"":""TRUE"",""task_group"":""BQA""}"
57,NL,246ce7679201bd6770f4185f816da3f50b177ea65747aa94a3f9bd9d4595032e,"{""answer"":""FALSE"",""task_group"":""BQA""}"
57,FS,a18470fff19c5b77cdc37edc83770043803cc59afe6d24201959f3a5da6b3a6e,"{""answer"":""FALSE"",""task_group"":""BQA""}"
57,AR,223d7e91f608c37e3d46e637a5f9a8819f5988397b6ca6ce5db9a88d9a2cb503,"{""answer"":""FALSE"",""task_group"":""BQA""}"
58,NL,e7374756e40541ba6b56c65a5aacb703234fc5a4de36f15e72e33599aee784e4,"{""answer"":""TRUE"",""task_group"":""BQA""}"
58,FS,2a4d292543e91262c953867bff2d7fc89794e13ca37910bfb3f3cad37855582e,"{""answer"":""TRUE"",""task_group"":""BQA""}"
58,AR,a1c2b04f7035ea857e50741fbf97561cc010d5b64685baab7c9fbff07bbb5223,"{""answer"":""TRUE"",""task_group"":""BQA""}"
59,NL,eb3425e33baf829655862a8ed0b3bd9c426b9aea1ebbd5c09a160675a5ceddd7,"{""answer"":""FALSE"",""task_group"":""BQA""}"
59,FS,a9468d02e625df77cb77fa4e2d9453e73c6516a6023ad1483976941e07fbac09,"{""answer"":""FALSE"",""task_group"":""BQA""}"
59,AR,b64933296760401286f32b4668564994e7256b108d790c990b2dd6af80ad1efc,"{""answer"":""FALSE"",""task_group"":""BQA""}"
60,NL,9373272e65f5b1ab253f89ecd32b30f4cffdf1abc7d7392bc322fdeaf0aa8bb6,"{""answer"":""TRUE"",""task_group"":""BQA""}"
60,FS,09ac24a6d5ee45220c1b4046e47c77a1c2eb914c74df026fff11e0d449e04115,"{""answer"":""TRUE"",""task_group"":""BQA""}"
60,AR,d56412fd3ed3ab8e02d5489f59abf7d137b947fb2bc8d2d61858b5ab082fb743,"{""answer"":""TRUE"",""task_group"":""BQA""}"
61,NL,7f539d81f93bea5a6b000873c2069a4e215ae2b5632da122f2154e512048a1bd,"{""answer"":""FALSE"",""task_group"":""BQA""}"
61,FS,1c725327ae6ad1ef4b0e82408ca4e2defb33ece4463397837e561a55bf6944a5,"{""answer"":""FALSE"",""task_group"":""BQA""}"
61,AR,8668ff27e0baf22bbe582fa9e1dada88f5d75dc5515fb93104add2ad5a03a85d,"{""answer"":""FALSE"",""task_group"":""BQA""}"
