ontology_scope,scope_rationale,entity_uri,entity_roles,candidate_normalized_label,final_nl_label,collision_resolved
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#edna_hostler,formal_query_entity;individual,Edna Hostler,Edna Hostler,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#edward_blanchard_1771,formal_query_entity;individual,Edward Blanchard,Edward Blanchard,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#edward_cotton_1850,formal_query_entity;individual,Edward Cotton,Edward Cotton,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#edward_jessop_1802,formal_query_entity;individual,Edward Jessop,Edward Jessop 1802,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#edward_jessop_1867,formal_query_entity;individual,Edward Jessop,Edward Jessop 1867,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#edward_tubb_1827,formal_query_entity;individual,Edward Tubb,Edward Tubb,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#edward_young_1795,formal_query_entity;individual,Edward Young,Edward Young 1795,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#edward_young_1821,formal_query_entity;individual,Edward Young,Edward Young 1821,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#eileen_mary_rever_1929,formal_query_entity;individual,Eileen Mary Rever,Eileen Mary Rever,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#eleanor_frances_green_1863,formal_query_entity;individual,Eleanor Frances Green,Eleanor Frances Green,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#eleanor_harsley_1808,formal_query_entity;individual,Eleanor Harsley,Eleanor Harsley,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#eleanor_pringle_1741,formal_query_entity;individual,Eleanor Pringle,Eleanor Pringle,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elisa_amelia_hewett_1858,formal_query_entity;individual,Elisa Amelia Hewett,Elisa Amelia Hewett,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#eliza_bright_1825,formal_query_entity;individual,Eliza Bright,Eliza Bright 1825,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#eliza_bright_1842,formal_query_entity;individual,Eliza Bright,Eliza Bright 1842,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_ann_lockey_1846,formal_query_entity;individual,Elizabeth Ann Lockey,Elizabeth Ann Lockey,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_archer_1843,formal_query_entity;individual,Elizabeth Archer,Elizabeth Archer,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_blanchard_1807,formal_query_entity;individual,Elizabeth Blanchard,Elizabeth Blanchard,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_clamper_1760,individual,Elizabeth Clamper,Elizabeth Clamper,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_cotton_1838,formal_query_entity;individual,Elizabeth Cotton,Elizabeth Cotton,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_frances_jessop_1869,formal_query_entity;individual,Elizabeth Frances Jessop,Elizabeth Frances Jessop,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_gray_1810,formal_query_entity;individual,Elizabeth Gray,Elizabeth Gray,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_harsley_1803,formal_query_entity;individual,Elizabeth Harsley,Elizabeth Harsley,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_pickard_1805,individual,Elizabeth Pickard,Elizabeth Pickard,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_quincey_green_1886,formal_query_entity;individual,Elizabeth Quincey Green,Elizabeth Quincey Green,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_rivers_1787,formal_query_entity;individual,Elizabeth Rivers,Elizabeth Rivers,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elizabeth_steward_1850,formal_query_entity;individual,Elizabeth Steward,Elizabeth Steward,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ellen_archer_1875,formal_query_entity;individual,Ellen Archer,Ellen Archer,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ellen_harsley,individual,Ellen Harsley,Ellen Harsley,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ellen_jessop_1844,formal_query_entity;individual,Ellen Jessop,Ellen Jessop,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ellen_steward_1797,formal_query_entity;individual,Ellen Steward,Ellen Steward 1797,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ellen_steward_1844,formal_query_entity;individual,Ellen Steward,Ellen Steward 1844,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elma_ellen_story_1893,formal_query_entity;individual,Elma Ellen Story,Elma Ellen Story,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#elma_harvey_1903,formal_query_entity;individual,Elma Harvey,Elma Harvey,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#emily_jennifer_pierrepoint_1996,formal_query_entity;individual,Emily Jennifer Pierrepoint,Emily Jennifer Pierrepoint,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#emma_hewett_1860,formal_query_entity;individual,Emma Hewett,Emma Hewett,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#emma_jane_tubb_1836,formal_query_entity;individual,Emma Jane Tubb,Emma Jane Tubb,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#emma_jessop_1839,formal_query_entity;individual,Emma Jessop,Emma Jessop,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#emma_templar_1991,formal_query_entity;individual,Emma Templar,Emma Templar,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#eric_cleife_1951,formal_query_entity;individual,Eric Cleife,Eric Cleife,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ethel_archer_1912,formal_query_entity;individual,Ethel Archer,Ethel Archer,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ethel_harvey_1888,formal_query_entity;individual,Ethel Harvey,Ethel Harvey,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#fanny_jacobs_1840,formal_query_entity;individual,Fanny Jacobs,Fanny Jacobs,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#finlay_alex_clamper_2002,formal_query_entity;individual,Finlay Alex Clamper,Finlay Alex Clamper,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#florelle_nenuphar_heath_1880,formal_query_entity;individual,Florelle Nenuphar Heath,Florelle Nenuphar Heath,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#frances_cotton_1834,formal_query_entity;individual,Frances Cotton,Frances Cotton,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#frances_elizabeth_ingelby_1816,formal_query_entity;individual,Frances Elizabeth Ingelby,Frances Elizabeth Ingelby,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#frances_spikin_1779,formal_query_entity;individual,Frances Spikin,Frances Spikin,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#frank_hewett_bright_1920,formal_query_entity;individual,Frank Hewett Bright,Frank Hewett Bright,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#frank_jacobs_1846,formal_query_entity;individual,Frank Jacobs,Frank Jacobs,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#frank_reginald_green_1883,formal_query_entity;individual,Frank Reginald Green,Frank Reginald Green,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#frank_terliven_1877,formal_query_entity;individual,Frank Terliven,Frank Terliven,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#fred_steward_1869,formal_query_entity;individual,Fred Steward,Fred Steward,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#frederick_herbert_bright_1889,formal_query_entity;individual,Frederick Herbert Bright,Frederick Herbert Bright,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#george_archer_1760,formal_query_entity;individual,George Archer,George Archer,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#george_baker_lockey_1812,formal_query_entity;individual,George Baker Lockey,George Baker Lockey,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#george_green_1834,formal_query_entity;individual,George Green,George Green,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#george_ingelby_1814,formal_query_entity;individual,George Ingelby,George Ingelby,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#george_jacobs_1852,formal_query_entity;individual,George Jacobs,George Jacobs,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#george_pickard_1847,formal_query_entity;individual,George Pickard,George Pickard,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#george_stafford_1807,formal_query_entity;individual,George Stafford,George Stafford,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#george_steward_1835,formal_query_entity;individual,George Steward,George Steward 1835,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#george_steward_1856,formal_query_entity;individual,George Steward,George Steward 1856,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#george_tacey_1831,formal_query_entity;individual,George Tacey,George Tacey,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#george_whitfield_1865,formal_query_entity;individual,George Whitfield,George Whitfield,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#gwendoline_heath_1878,formal_query_entity;individual,Gwendoline Heath,Gwendoline Heath,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hannah_green_1839,formal_query_entity;individual,Hannah Green,Hannah Green,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hannah_hutchinson_1804,formal_query_entity;individual,Hannah Hutchinson,Hannah Hutchinson,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hannah_pickard_1844,formal_query_entity;individual,Hannah Pickard,Hannah Pickard,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hannah_steward_1801,formal_query_entity;individual,Hannah Steward,Hannah Steward,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#harriet_ann_whitfield_1850,formal_query_entity;individual,Harriet Ann Whitfield,Harriet Ann Whitfield,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#harriet_ann_young_1825,formal_query_entity;individual,Harriet Ann Young,Harriet Ann Young,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#harriet_bright_1811,formal_query_entity;individual,Harriet Bright,Harriet Bright,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#harriet_ingelby_pickard_1858,formal_query_entity;individual,Harriet Ingelby Pickard,Harriet Ingelby Pickard,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#harriet_whitefield_1861,formal_query_entity;individual,Harriet Whitefield,Harriet Whitefield,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#harry_bright_hostler,formal_query_entity;individual,Harry Bright Hostler,Harry Bright Hostler,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#harry_james_nelson_2001,individual,Harry James Nelson,Harry James Nelson,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#harry_whitfield_1854,formal_query_entity;individual,Harry Whitfield,Harry Whitfield,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#harsley_steward_1839,formal_query_entity;individual,Harsley Steward,Harsley Steward,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hasAncestor,object_property,Has Ancestor,Has Ancestor,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hasBrother,formal_query_entity;object_property,Has Brother,Has Brother,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hasChild,object_property,Has Child,Has Child,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hasDaughter,formal_query_entity;object_property,Has Daughter,Has Daughter,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hasFather,formal_query_entity;object_property,Has Father,Has Father,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hasFemalePartner,formal_query_entity;object_property,Has Female Partner,Has Female Partner,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hasHusband,object_property,Has Husband,Has Husband,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hasMalePartner,formal_query_entity;object_property,Has Male Partner,Has Male Partner,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hasMother,formal_query_entity;object_property,Has Mother,Has Mother,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hasParent,formal_query_entity;object_property,Has Parent,Has Parent,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#hasPartner,formal_query_entity;object_property,Has Partner,Has Partner,false
