input_equivalence_group_id,representation,input_hash,classification_category,classification,semantic_row_count,task_ids,dataset_hop_distribution,identical_gold_semantics,gold_semantics_count,cause
ieq-fs-f54a9f456867495f1e8d7e8b,FS,f54a9f456867495f1e8d7e8bc55df741ee79b63a613e928cd597874cc9a247ee,4,incidental cross-dataset/hop duplication,2,4042;5108,"{""Pizza100/1hop"":1,""Pizza250/1hop"":1}","{""answer"":""FALSE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-fs-fc9a0fed3e8c12cd1352a095,FS,fc9a0fed3e8c12cd1352a095b2b7ef52e1c4919ea11fb2b215a57da6390a9671,4,incidental cross-dataset/hop duplication,2,4041;5107,"{""Pizza100/1hop"":1,""Pizza250/1hop"":1}","{""answer"":""TRUE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-nl-054a5f42d3891123f6bcb28c,NL,054a5f42d3891123f6bcb28c04c027b9a10f5b703896f4dba5cd88cf7fce387b,4,incidental cross-dataset/hop duplication,2,6966;8517,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""TRUE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-nl-0ad8e511c81c0eff34444ad2,NL,0ad8e511c81c0eff34444ad2974426d282f21f5033e844612c954dc07f4bc7c1,4,incidental cross-dataset/hop duplication,2,4041;5107,"{""Pizza100/1hop"":1,""Pizza250/1hop"":1}","{""answer"":""TRUE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-nl-272f0c610cff8327f9a6c8bc,NL,272f0c610cff8327f9a6c8bcd03524f87ecec17456ac12de0be850eb00959360,3,compatible representational collapse,2,1157;1159,"{""FamilyOWL/1hop"":2}","{""answer"":""FALSE"",""task_group"":""BQA""}",1,compatible representational collapse
ieq-nl-2a41e195fcef244fa57c881b,NL,2a41e195fcef244fa57c881bd64db84d2cb4419ef55725608355098133562301,4,incidental cross-dataset/hop duplication,2,7030;8586,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""Person"",""task_group"":""OEQA""}",1,incidental cross-dataset/hop duplication
ieq-nl-2cb55922bc255d44d1defca7,NL,2cb55922bc255d44d1defca7f54af791dd46340a2d6b5d90a656ddb53984b4be,4,incidental cross-dataset/hop duplication,2,6114;7597,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""TRUE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-nl-42b2b2609a9d997115859560,NL,42b2b2609a9d997115859560944bc8d361ea6015b7b71b6a830570841c852f90,4,incidental cross-dataset/hop duplication,2,6117;7600,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""FALSE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-nl-597789f3e47ccb3570617183,NL,597789f3e47ccb357061718344102d6e0ad4dee6db3de98a5ac366fc40cb89eb,4,incidental cross-dataset/hop duplication,2,6965;8516,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""FALSE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-nl-71206e8191268805acf24d3a,NL,71206e8191268805acf24d3aa60e80f1084fb09325863dbefd068e0a7a760d20,4,incidental cross-dataset/hop duplication,2,4146;5240,"{""Pizza100/1hop"":1,""Pizza250/1hop"":1}","{""answer"":""AnchoviesTopping_dynamic_1;CaperTopping_dynamic_1;MozzarellaTopping_dynamic_1;MushroomTopping_dynamic_1;OliveTopping_dynamic_1;PeperoniSausageTopping_dynamic_1;TomatoTopping_dynamic_1"",""task_group"":""OEQA""}",1,incidental cross-dataset/hop duplication
ieq-nl-812f77f2f6c9b0e4755c312e,NL,812f77f2f6c9b0e4755c312ecf5305015e1714afacc71427aba663469d2f3897,3,compatible representational collapse,2,3038;3040,"{""FamilyOWL/2hop"":2}","{""answer"":""FALSE"",""task_group"":""BQA""}",1,compatible representational collapse
ieq-nl-8c48c6d689e5dd7780a3655c,NL,8c48c6d689e5dd7780a3655c118970243beff5559a239be0128e8798b5b6fffb,4,incidental cross-dataset/hop duplication,2,6113;7596,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""FALSE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-nl-aaf17ff55c2cdf4cf3adf716,NL,aaf17ff55c2cdf4cf3adf716eb6c86b4f38e61c12d51179097a4f0fd24b2a033,4,incidental cross-dataset/hop duplication,2,6118;7601,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""TRUE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-nl-c7c90b134670ecded9eb7ca6,NL,c7c90b134670ecded9eb7ca678246d8425824b84cdc89daab20f9259ea673191,4,incidental cross-dataset/hop duplication,2,4042;5108,"{""Pizza100/1hop"":1,""Pizza250/1hop"":1}","{""answer"":""FALSE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
