task_id,semantic_key,dataset,hop,task,representation,model,model_id,api_provider,credential_source,input_hash,configuration_hash,status,requested_provider,requested_provider_name,canary
4,sem-v1.1-b57729f8e24f42524600838e736644609679f0489902a15c80a45dbaf66ded52,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,e167a4ea12eaa7d7cfb2bfc7899cb26b77f1921c334e47886c20a234f217aaf5,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
4,sem-v1.1-b57729f8e24f42524600838e736644609679f0489902a15c80a45dbaf66ded52,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,f56a4947586c29b52d31518f5f6156ab6f17d341ef1747bcebe872113bd11bd9,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
5,sem-v1.1-95e1d2d1feac9dcee411996920fcf89459716ca3dcc5ffec674172e85808a507,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,f10710b5799ace47c7784412b5595505c172720054fded7cc7ba61ce0293d693,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
5,sem-v1.1-95e1d2d1feac9dcee411996920fcf89459716ca3dcc5ffec674172e85808a507,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,8de3e1294fd82a743cb38ba5b61a3c1104293c771b06aefada7f5f64b89f9e1b,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
5,sem-v1.1-95e1d2d1feac9dcee411996920fcf89459716ca3dcc5ffec674172e85808a507,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,ff4117ce73c0905e2ff5e0c9df174964e19ae9c0dab91b77b6301800ded9e67a,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
6,sem-v1.1-4efe9fb64d53b2154dd125555c3539a28d64440558e04e8b41ac55239832ed84,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,25103c1f8cca6084dcc1ea23b69e853e88d083de7b75159709ad29e14a5e26fa,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
6,sem-v1.1-4efe9fb64d53b2154dd125555c3539a28d64440558e04e8b41ac55239832ed84,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,5938d4889043a4abcda4bb52bc187b18ad5a43df7920eded3a4d9a112ec277c8,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
6,sem-v1.1-4efe9fb64d53b2154dd125555c3539a28d64440558e04e8b41ac55239832ed84,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,5cc0dcbb600adb737d75a48223b83e9f2594d32c1bbfa89b2e2e0fc161c4b4aa,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
7,sem-v1.1-134429e6edd1c0e47f26bcbbd38b0044731c0e23dd10280e7de0015c22361087,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,2cb3d089b51fdb785ac3aab6cf3477e7b8b12cdae889b9cb3930383ab769306a,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
7,sem-v1.1-134429e6edd1c0e47f26bcbbd38b0044731c0e23dd10280e7de0015c22361087,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,a08abc454dd0b26baad9d8762780310b07f45d7caa011b0bc9bd87ad96d863e3,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
7,sem-v1.1-134429e6edd1c0e47f26bcbbd38b0044731c0e23dd10280e7de0015c22361087,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,0bd18efa0fbda4aba97c38d79528fb3b78ce33eabe016e8edd186d370b2a3458,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
8,sem-v1.1-d4098b2b6d1be38d9d1fea535e1995ddff53861502349e6d35779400a0f240ea,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,fb9c75f4132d22d53fc2ab18ebc2930474bb7a3b0b4eb97c5b190a4d37a1f230,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
8,sem-v1.1-d4098b2b6d1be38d9d1fea535e1995ddff53861502349e6d35779400a0f240ea,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,023bed98f156e92d9ed8fa9b2727f92c107d9a9b5e52486b03747578f5d44ef3,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
8,sem-v1.1-d4098b2b6d1be38d9d1fea535e1995ddff53861502349e6d35779400a0f240ea,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,e6ec9c53aeb639189657d13fc547d79afb33fff421a422c179bb2ef07d08bcdb,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
9,sem-v1.1-8b8769c4b5c42bc48beb4442e8d1588ba744c4d046cbbe3523906eb74cab2ea6,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,d830fdf98d834beaf5b428b5a5c780e1c44fa49f1dcec526261eb5fb3c5be57f,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
9,sem-v1.1-8b8769c4b5c42bc48beb4442e8d1588ba744c4d046cbbe3523906eb74cab2ea6,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,deed130a1b4f2260468e5d027b64ceb356f7505dd95fabd1306de0ee752a8cd6,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
9,sem-v1.1-8b8769c4b5c42bc48beb4442e8d1588ba744c4d046cbbe3523906eb74cab2ea6,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,90fef3084fbb844a095a3785b36d24c92a8a134edbc17f4593e048f18e305a18,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
10,sem-v1.1-cd47cf9e2c5a7e64b926585ee707d7e654bef2c95d43f8c15adbac291c65f28a,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,e5f4b321bda2e5cbb63a98c3abb4dbfd51e3f1b1e96d400b313d8ed51c9852e1,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
10,sem-v1.1-cd47cf9e2c5a7e64b926585ee707d7e654bef2c95d43f8c15adbac291c65f28a,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,dd86ef0f490dc72de393a51fee1b3d3981900d37f60bbd16718125b37526a5c1,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
10,sem-v1.1-cd47cf9e2c5a7e64b926585ee707d7e654bef2c95d43f8c15adbac291c65f28a,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,8fec270f0f02719cd74b6f75b4a691d55784ec9253c947dda472e93f2cf036c6,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
11,sem-v1.1-1e5296b9a78acdf65840d2587da8b6f370c05e931df9e79f2fe0e8a8daa64ced,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,7d62f3f0d2535ae03a1786bce9d11bd647d097186270c1f8f6adacf4ea36ac0e,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
11,sem-v1.1-1e5296b9a78acdf65840d2587da8b6f370c05e931df9e79f2fe0e8a8daa64ced,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,64001d250ec8611c176d4702c4256950186c9b658542363f3e6ed7e10d5c85bc,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
11,sem-v1.1-1e5296b9a78acdf65840d2587da8b6f370c05e931df9e79f2fe0e8a8daa64ced,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,cfae79aa923f33806e4679987c32ceb4de7bab3c63cdac8156839d3175be8bda,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
12,sem-v1.1-cd507e7741a49b8f030f822a7442600407651cc4c680a7afdb394fa4554a7841,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,d0ca1c23e35e309fc45a825b4f5284e4d662d12942ab9deece25b2380db320d7,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
12,sem-v1.1-cd507e7741a49b8f030f822a7442600407651cc4c680a7afdb394fa4554a7841,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,3b3f290387e897f36ac68550b76cf69c1e8c48b59e710cc321a92c618043b202,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
12,sem-v1.1-cd507e7741a49b8f030f822a7442600407651cc4c680a7afdb394fa4554a7841,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,941367013d13643ed61302dad97a59e5a478df8997f6d313a0010e13d276927d,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
13,sem-v1.1-0c68596e4d85dab0411a2ac26f1862f6ee92e93bec68a8c00a57c75aa9312adf,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,2fc816427593db4c8cf4c88e7280d16e8d49eb4392984a43555a5772fe59991e,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
13,sem-v1.1-0c68596e4d85dab0411a2ac26f1862f6ee92e93bec68a8c00a57c75aa9312adf,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,3675a4727f1bbe7313f05ef9424891a5c60aaceb98bfe96cc36977e25c0c3200,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
13,sem-v1.1-0c68596e4d85dab0411a2ac26f1862f6ee92e93bec68a8c00a57c75aa9312adf,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,253168dcdd0a0d1884117425d577e44cda847b70dd464b51af02e9b5756c6616,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
14,sem-v1.1-b71059f65e841eca8e52e4605591acc608b66222705c8aeb21d1a205b208c743,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,6d68d090d38a7901a731d30f3db95b837da1258199db7ea30b6ad1e93f41219e,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
14,sem-v1.1-b71059f65e841eca8e52e4605591acc608b66222705c8aeb21d1a205b208c743,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,144e9417a16bf8e1833503af694a8e2b07fc9f0596493d4f2b7dba59fbe1893e,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
14,sem-v1.1-b71059f65e841eca8e52e4605591acc608b66222705c8aeb21d1a205b208c743,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,5572014ff92e383ff1ee25b58761ce7c0dacd6f021921985e1a8887b712b8d97,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
15,sem-v1.1-cde2d6d71f8e8329e7d6d50b0df1220a67ffa8ad15e6e1fef770c3e346ee5be0,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,b8ad442934e6bf620c6cf7e42b260678ba96a831716854025d8336979fae3c67,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
15,sem-v1.1-cde2d6d71f8e8329e7d6d50b0df1220a67ffa8ad15e6e1fef770c3e346ee5be0,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,73af67deac407f8eed8356745cab83667aba2e0993ecb84a9f0937d60e6b86ab,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
15,sem-v1.1-cde2d6d71f8e8329e7d6d50b0df1220a67ffa8ad15e6e1fef770c3e346ee5be0,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,0404d7ac6b9f6db13a27c917c6d1c2a0125351acd635e999e5f060a50bd9c74a,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
16,sem-v1.1-640cd7c1caaf46edb8f3a7d01f23a72c4925e7af4d99b0b3b5b90d41522f6895,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,9f66797f46397a2d0462cfc275160bd30850c702ddf64aec3678660626b409cb,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
16,sem-v1.1-640cd7c1caaf46edb8f3a7d01f23a72c4925e7af4d99b0b3b5b90d41522f6895,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,181e7dd5143f2f77132786c89697da7cee7b5558308417f28ab4742c18781282,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
16,sem-v1.1-640cd7c1caaf46edb8f3a7d01f23a72c4925e7af4d99b0b3b5b90d41522f6895,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,7d035e37976da6c7d2eddccab8d6d3fa847ffab3e00eb7a418ffcf53b4f6a2de,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
17,sem-v1.1-c850bab9bb68eb28d4a8c650123ef7bbf13de0ec52499f0a5ecd384737070bf0,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,33eeb0c10b7028e98c33ef7680282f808702f0e22c27bd5159d6fd949bc9e85d,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
17,sem-v1.1-c850bab9bb68eb28d4a8c650123ef7bbf13de0ec52499f0a5ecd384737070bf0,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,8194443ad4bc0c02601f886289d59079255cbedddb90fa49aedb335d0caa5d40,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
17,sem-v1.1-c850bab9bb68eb28d4a8c650123ef7bbf13de0ec52499f0a5ecd384737070bf0,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,49d2e64f0f562b1796a07324055ca888df00ba17502291b71cdcc7a9eda430aa,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
18,sem-v1.1-5e99504375f0b39e959c7d7b2dc87d904d3d3229fbdcfb7bc0533aba19cc0bbc,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,444a1e46ed24d4c24ffabfdf6237919f91fda3971822db07ee57ed03e6dfa99a,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
18,sem-v1.1-5e99504375f0b39e959c7d7b2dc87d904d3d3229fbdcfb7bc0533aba19cc0bbc,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,5e2e2cb4a3dbe9a5fed602eaca2654287150a1f110a9521ba96f97d3bd77a25d,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
18,sem-v1.1-5e99504375f0b39e959c7d7b2dc87d904d3d3229fbdcfb7bc0533aba19cc0bbc,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,5e9c3d745effd4e4df21765d66fc2b5e94943971dcf271689974d17c725f5ea0,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
19,sem-v1.1-a39d4a812524e126c62bd85168cda84342f9b7dd9b94f8857f4d6f63d54513a4,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,e96cc98957d5e17194d3b1218e3613cedfee2eee108c22d438c564a6b202510d,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
19,sem-v1.1-a39d4a812524e126c62bd85168cda84342f9b7dd9b94f8857f4d6f63d54513a4,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,c665f65a48cbfae66b766075ebae187ac32983f048728696879bb9a0d11bf8b0,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
19,sem-v1.1-a39d4a812524e126c62bd85168cda84342f9b7dd9b94f8857f4d6f63d54513a4,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,be765db892f3a0307a5b5c1b8616f372b3f2fae64f9473b20eb179d744fa225c,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
20,sem-v1.1-ee60e56689b4fd0bc2ec890fe7afb5dd213a3018f7e90ba7975228d6e42edaa6,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,e1c4af7caf6ef5e8f0bc6c585422ab199247c5176cfd7d5b8e50515128b70bb8,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
20,sem-v1.1-ee60e56689b4fd0bc2ec890fe7afb5dd213a3018f7e90ba7975228d6e42edaa6,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,5f4546c256b7c7f419c5140195527205b37a79e36224516172b8be995d44bb58,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
