Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Min Tag Length,Max Tag Length,Task ID temp,Bin_Size of ontology ABox,Bin_Min Tag Length,strata,split
1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type-BIN,Thing_ada_steward_1871,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },rdf:type,TRUE,3,3,1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type-MC,Thing_ada_steward_1871,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,Ancestor; DomainEntity; Man; Person,3,3,1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation-BIN,Thing_ada_steward_1871,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#ada_steward_1871> },hasRelation,TRUE,3,3,1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation-MC,Thing_ada_steward_1871,173,5,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> ?x },hasRelation,ada_steward_1871; james_steward_1830; john_tacey_steward_1873; mary_ellen_steward_1855; susannah_tacey_1834,3,3,1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type-BIN,Thing_ada_steward_1871,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,5,1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type,2.0,0.0,2.0_0.0,train
1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type-MC,Thing_ada_steward_1871,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,Ancestor; DomainEntity; Person; Woman,2,5,1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type,2.0,0.0,2.0_0.0,train
1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type-BIN,Thing_ada_steward_1871,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,5,1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type,2.0,0.0,2.0_0.0,train
1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type-MC,Thing_ada_steward_1871,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,Ancestor; DomainEntity; Man; Person,2,5,1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type,2.0,0.0,2.0_0.0,train
1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type-BIN,Thing_ada_steward_1871,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },rdf:type,TRUE,3,3,1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type-MC,Thing_ada_steward_1871,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,Ancestor; DomainEntity; Person; Woman,3,3,1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation-BIN,Thing_ada_steward_1871,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_steward_1830> },hasRelation,TRUE,3,3,1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation-MC,Thing_ada_steward_1871,173,5,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> ?x },hasRelation,ada_steward_1871; james_steward_1830; john_tacey_steward_1873; mary_ellen_steward_1855; susannah_tacey_1834,3,3,1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation-BIN,Thing_ada_steward_1871,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_steward_1830> },hasRelation,TRUE,3,3,1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type-BIN,Thing_ada_steward_1871,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Ancestor> },rdf:type,TRUE,5,5,1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type,2.0,3.0,2.0_3.0,train
1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type-MC,Thing_ada_steward_1871,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,Ancestor; DomainEntity; Man; Person,5,5,1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type,2.0,3.0,2.0_3.0,train
1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation-BIN,Thing_ada_steward_1871,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_tacey_steward_1873> },hasRelation,TRUE,3,3,1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type-BIN,Thing_ada_steward_1871,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Woman> },rdf:type,TRUE,2,2,1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type,2.0,0.0,2.0_0.0,train
1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type-MC,Thing_ada_steward_1871,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,Ancestor; DomainEntity; Person; Woman,2,2,1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type,2.0,0.0,2.0_0.0,train
1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation-BIN,Thing_ada_steward_1871,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> },hasRelation,TRUE,3,3,1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation-BIN,Thing_ada_steward_1871,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_tacey_steward_1873> },hasRelation,TRUE,3,3,1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation-BIN,Thing_ada_steward_1871,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#susannah_tacey_1834> },hasRelation,TRUE,3,3,1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation-BIN,Thing_ada_steward_1871,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> },hasRelation,TRUE,3,3,1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation-BIN,Thing_ada_steward_1871,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#ada_steward_1871> },hasRelation,TRUE,3,3,1hop-Thing_ada_steward_1871_ada_steward_1871-ada_steward_1871-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation-BIN,Thing_ada_steward_1871,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#susannah_tacey_1834> },hasRelation,TRUE,3,3,1hop-Thing_ada_steward_1871_mary_ellen_steward_1855-mary_ellen_steward_1855-hasRelation,2.0,1.0,2.0_1.0,train
1hop-Thing_alan_john_dowse_1936_ethel_archer_1912-ethel_archer_1912-hasRelation-BIN,Thing_alan_john_dowse_1936,173,4,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#ethel_archer_1912> },hasRelation,TRUE,3,3,1hop-Thing_alan_john_dowse_1936_ethel_archer_1912-ethel_archer_1912-hasRelation,1.0,1.0,1.0_1.0,train
1hop-Thing_alan_john_dowse_1936_ethel_archer_1912-ethel_archer_1912-hasRelation-MC,Thing_alan_john_dowse_1936,173,4,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasRelation> ?x },hasRelation,alan_john_dowse_1936; ethel_archer_1912; martin_dowse_1944; maureen_dowse_1939,3,3,1hop-Thing_alan_john_dowse_1936_ethel_archer_1912-ethel_archer_1912-hasRelation,1.0,1.0,1.0_1.0,train
1hop-Thing_alan_john_dowse_1936_ethel_archer_1912-ethel_archer_1912-hasRelation-BIN,Thing_alan_john_dowse_1936,173,4,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#martin_dowse_1944> },hasRelation,TRUE,3,3,1hop-Thing_alan_john_dowse_1936_ethel_archer_1912-ethel_archer_1912-hasRelation,1.0,1.0,1.0_1.0,train
1hop-Thing_alan_john_dowse_1936_ethel_archer_1912-ethel_archer_1912-hasRelation-BIN,Thing_alan_john_dowse_1936,173,4,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#alan_john_dowse_1936> },hasRelation,TRUE,3,3,1hop-Thing_alan_john_dowse_1936_ethel_archer_1912-ethel_archer_1912-hasRelation,1.0,1.0,1.0_1.0,train
1hop-Thing_alan_john_dowse_1936_ethel_archer_1912-ethel_archer_1912-hasRelation-BIN,Thing_alan_john_dowse_1936,173,4,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#maureen_dowse_1939> },hasRelation,TRUE,3,3,1hop-Thing_alan_john_dowse_1936_ethel_archer_1912-ethel_archer_1912-hasRelation,1.0,1.0,1.0_1.0,train
1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#iris_ellen_archer_1906> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation-MC,Thing_alec_john_archer_1927,173,8,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasRelation> ?x },hasRelation,alec_john_archer_1927; anne_archer_1964; clare_archer_1957; helen_archer_1955; iris_ellen_archer_1906; james_alexander_archer_1882; paul_archer_1950; violet_heath_1887,3,3,1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#alec_john_archer_1927> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#iris_ellen_archer_1906> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation-MC,Thing_alec_john_archer_1927,173,8,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#alec_john_archer_1927> <http://www.example.com/genealogy.owl#hasRelation> ?x },hasRelation,alec_john_archer_1927; anne_archer_1964; clare_archer_1957; helen_archer_1955; iris_ellen_archer_1906; james_alexander_archer_1882; paul_archer_1950; violet_heath_1887,3,3,1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#alec_john_archer_1927> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#alec_john_archer_1927> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#alec_john_archer_1927> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#clare_archer_1957> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_alexander_archer_1882> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#clare_archer_1957> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#paul_archer_1950> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#anne_archer_1964> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#violet_heath_1887> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#alec_john_archer_1927> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#anne_archer_1964> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#helen_archer_1955> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#alec_john_archer_1927> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#paul_archer_1950> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#alec_john_archer_1927> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#violet_heath_1887> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#alec_john_archer_1927> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#helen_archer_1955> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_alec_john_archer_1927-alec_john_archer_1927-hasRelation,5.0,1.0,5.0_1.0,train
1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation-BIN,Thing_alec_john_archer_1927,173,8,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#alec_john_archer_1927> },hasRelation,TRUE,3,3,1hop-Thing_alec_john_archer_1927_clare_archer_1957-clare_archer_1957-hasRelation,5.0,1.0,5.0_1.0,train
